feature_code,year,measurement,units,value,alcohol_condition,hospital_activity,type_of_hospital,hb_assign
S12000026,2011/2012,count,stays,66,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2010/2011,count,stays,42,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2012/2013,count,stays,222,Harmful Use,stays,general acute hospital,S08000016
S12000026,2016/2017,count,stays,72,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2009/2010,count,stays,48,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000026,2011/2012,count,stays,42,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2014/2015,count,stays,69,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2017/2018,count,stays,48,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2017/2018,count,stays,39,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000026,2018/2019,count,stays,45,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2017/2018,count,stays,63,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2015/2016,count,stays,18,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2017/2018,count,stays,36,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2014/2015,count,stays,30,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2015/2016,count,stays,72,Withdrawal state,stays,general acute hospital,S08000016
S12000027,2017/2018,count,stays,51,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2013/2014,count,stays,9,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2018/2019,count,stays,12,Unspecified,stays,general acute hospital,S08000026
S12000026,2012/2013,count,stays,54,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2013/2014,count,stays,210,Harmful Use,stays,general acute hospital,S08000016
S12000026,2011/2012,count,stays,246,Harmful Use,stays,general acute hospital,S08000016
S12000026,2014/2015,count,stays,45,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2016/2017,count,stays,39,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2012/2013,count,stays,87,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000026,2009/2010,count,stays,15,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2018/2019,count,stays,156,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2012/2013,count,stays,48,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2010/2011,count,stays,12,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2015/2016,count,stays,54,Unspecified,stays,general acute hospital,S08000016
S12000026,2016/2017,count,stays,120,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2017/2018,count,stays,123,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2013/2014,count,stays,39,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2016/2017,count,stays,60,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2015/2016,count,stays,45,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2015/2016,count,stays,126,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2009/2010,count,stays,69,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2016/2017,count,stays,42,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000026,2013/2014,count,stays,78,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000026,2014/2015,count,stays,42,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000026,2015/2016,count,stays,39,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000023,2009/2010,count,stays,18,Unspecified,stays,general acute hospital,S08000025
S12000023,2016/2017,count,stays,6,Harmful Use,stays,general acute hospital,S08000025
S12000023,2018/2019,count,stays,39,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2010/2011,count,stays,15,Unspecified,stays,general acute hospital,S08000025
S12000023,2011/2012,count,stays,9,Unspecified,stays,general acute hospital,S08000025
S12000023,2010/2011,count,stays,30,Harmful Use,stays,general acute hospital,S08000025
S12000023,2009/2010,count,stays,129,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2018/2019,count,stays,12,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2012/2013,count,stays,42,Harmful Use,stays,general acute hospital,S08000025
S12000023,2014/2015,count,stays,39,Harmful Use,stays,general acute hospital,S08000025
S12000023,2016/2017,count,stays,9,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2012/2013,count,stays,12,Unspecified,stays,general acute hospital,S08000025
S12000023,2012/2013,count,stays,15,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2011/2012,count,stays,24,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2014/2015,count,stays,27,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2013/2014,count,stays,9,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2013/2014,count,stays,9,Unspecified,stays,general acute hospital,S08000025
S12000023,2014/2015,count,stays,6,Unspecified,stays,general acute hospital,S08000025
S12000023,2014/2015,count,stays,48,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2013/2014,count,stays,207,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2011/2012,count,stays,222,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2010/2011,count,stays,261,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2017/2018,count,stays,60,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2012/2013,count,stays,237,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2009/2010,count,stays,12,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2010/2011,count,stays,15,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2017/2018,count,stays,9,Unspecified,stays,general acute hospital,S08000025
S12000023,2017/2018,count,stays,39,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2012/2013,count,stays,78,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2017/2018,count,stays,24,Harmful Use,stays,general acute hospital,S08000025
S12000023,2018/2019,count,stays,36,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2015/2016,count,stays,54,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2011/2012,count,stays,6,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2011/2012,count,stays,69,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2017/2018,count,stays,24,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2015/2016,count,stays,9,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2011/2012,count,stays,42,Harmful Use,stays,general acute hospital,S08000025
S12000023,2015/2016,count,stays,15,Unspecified,stays,general acute hospital,S08000025
S12000026,2014/2015,count,stays,156,Harmful Use,stays,general acute hospital,S08000016
S12000023,2018/2019,count,stays,27,Harmful Use,stays,general acute hospital,S08000025
S12000023,2018/2019,count,stays,9,Unspecified,stays,general acute hospital,S08000025
S12000023,2010/2011,count,stays,0,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2016/2017,count,stays,12,Cirrhosis,stays,general acute hospital,S08000025
S12000023,2014/2015,count,stays,15,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2018/2019,count,stays,33,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2009/2010,count,stays,63,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2017/2018,count,stays,15,Cirrhosis,stays,general acute hospital,S08000025
S12000023,2014/2015,count,stays,15,Cirrhosis,stays,general acute hospital,S08000025
S12000023,2015/2016,count,stays,15,Harmful Use,stays,general acute hospital,S08000025
S12000023,2013/2014,count,stays,36,Harmful Use,stays,general acute hospital,S08000025
S12000023,2017/2018,count,stays,18,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2015/2016,count,stays,21,Toxic Effects of Alcohol,stays,general acute hospital,S08000025
S12000023,2009/2010,count,stays,18,Harmful Use,stays,general acute hospital,S08000025
S12000023,2015/2016,count,stays,12,Cirrhosis,stays,general acute hospital,S08000025
S12000023,2009/2010,count,stays,6,Cirrhosis,stays,general acute hospital,S08000025
S12000023,2016/2017,count,stays,12,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2009/2010,count,stays,6,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2013/2014,count,stays,18,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2018/2019,count,stays,30,Cirrhosis,stays,general acute hospital,S08000025
S12000023,2012/2013,count,stays,6,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2010/2011,count,stays,69,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2011/2012,count,stays,21,Cirrhosis,stays,general acute hospital,S08000025
S12000023,2014/2015,count,stays,57,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2016/2017,count,stays,63,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2012/2013,count,stays,6,Cirrhosis,stays,general acute hospital,S08000025
S12000023,2015/2016,count,stays,69,Alcohol Dependence syndrome,stays,general acute hospital,S08000025
S12000023,2013/2014,count,stays,66,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2016/2017,count,stays,9,Unspecified,stays,general acute hospital,S08000025
S12000023,2016/2017,count,stays,36,Acute Intoxication,stays,general acute hospital,S08000025
S12000023,2013/2014,count,stays,12,Cirrhosis,stays,general acute hospital,S08000025
S12000023,2010/2011,count,stays,12,Cirrhosis,stays,general acute hospital,S08000025
S12000028,2009/2010,count,stays,132,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2015/2016,count,stays,72,Unspecified,stays,general acute hospital,S08000015
S12000028,2017/2018,count,stays,54,Unspecified,stays,general acute hospital,S08000015
S12000028,2018/2019,count,stays,45,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2017/2018,count,stays,138,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2013/2014,count,stays,78,Unspecified,stays,general acute hospital,S08000015
S12000028,2012/2013,count,stays,105,Unspecified,stays,general acute hospital,S08000015
S12000028,2011/2012,count,stays,111,Unspecified,stays,general acute hospital,S08000015
S12000028,2010/2011,count,stays,81,Unspecified,stays,general acute hospital,S08000015
S12000028,2013/2014,count,stays,267,Acute Intoxication,stays,general acute hospital,S08000015
S12000028,2009/2010,count,stays,444,Harmful Use,stays,general acute hospital,S08000015
S12000028,2015/2016,count,stays,225,Harmful Use,stays,general acute hospital,S08000015
S12000028,2013/2014,count,stays,228,Harmful Use,stays,general acute hospital,S08000015
S12000028,2011/2012,count,stays,255,Harmful Use,stays,general acute hospital,S08000015
S12000028,2016/2017,count,stays,75,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2012/2013,count,stays,249,Harmful Use,stays,general acute hospital,S08000015
S12000028,2013/2014,count,stays,75,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2016/2017,count,stays,279,Harmful Use,stays,general acute hospital,S08000015
S12000028,2018/2019,count,stays,198,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2017/2018,count,stays,252,Harmful Use,stays,general acute hospital,S08000015
S12000028,2014/2015,count,stays,231,Harmful Use,stays,general acute hospital,S08000015
S12000028,2009/2010,count,stays,333,Acute Intoxication,stays,general acute hospital,S08000015
S12000028,2010/2011,count,stays,414,Harmful Use,stays,general acute hospital,S08000015
S12000028,2017/2018,count,stays,234,Acute Intoxication,stays,general acute hospital,S08000015
S12000028,2009/2010,count,stays,69,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2011/2012,count,stays,363,Acute Intoxication,stays,general acute hospital,S08000015
S12000028,2011/2012,count,stays,45,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2010/2011,count,stays,321,Acute Intoxication,stays,general acute hospital,S08000015
S12000028,2012/2013,count,stays,72,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2016/2017,count,stays,216,Acute Intoxication,stays,general acute hospital,S08000015
S12000028,2015/2016,count,stays,78,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2014/2015,count,stays,69,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2014/2015,count,stays,240,Acute Intoxication,stays,general acute hospital,S08000015
S12000028,2010/2011,count,stays,45,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2015/2016,count,stays,222,Acute Intoxication,stays,general acute hospital,S08000015
S12000028,2017/2018,count,stays,75,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2016/2017,count,stays,69,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2009/2010,count,stays,183,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2011/2012,count,stays,15,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2014/2015,count,stays,48,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2012/2013,count,stays,18,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2015/2016,count,stays,69,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2009/2010,count,stays,87,Unspecified,stays,general acute hospital,S08000015
S12000028,2012/2013,count,stays,99,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000029,2015/2016,count,stays,240,Cirrhosis,stays,general acute hospital,S08000032
S12000029,2014/2015,count,stays,210,Cirrhosis,stays,general acute hospital,S08000032
S12000029,2016/2017,count,stays,108,Alcohol Dependence syndrome,stays,general acute hospital,S08000032
S12000029,2015/2016,count,stays,213,Unspecified,stays,general acute hospital,S08000032
S12000029,2017/2018,count,stays,234,Cirrhosis,stays,general acute hospital,S08000032
S12000029,2010/2011,count,stays,102,Cirrhosis,stays,general acute hospital,S08000032
S12000029,2014/2015,count,stays,465,Acute Intoxication,stays,general acute hospital,S08000032
S12000028,2013/2014,count,stays,120,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2011/2012,count,stays,147,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2010/2011,count,stays,147,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000029,2016/2017,count,stays,333,Withdrawal state,stays,general acute hospital,S08000032
S12000029,2011/2012,count,stays,246,Withdrawal state,stays,general acute hospital,S08000032
S12000029,2015/2016,count,stays,240,Alcohol Dependence syndrome,stays,general acute hospital,S08000032
S12000029,2017/2018,count,stays,156,Alcohol Dependence syndrome,stays,general acute hospital,S08000032
S12000029,2011/2012,count,stays,123,Cirrhosis,stays,general acute hospital,S08000032
S12000029,2012/2013,count,stays,174,Cirrhosis,stays,general acute hospital,S08000032
S12000029,2018/2019,count,stays,465,Acute Intoxication,stays,general acute hospital,S08000032
S12000029,2012/2013,count,stays,264,Withdrawal state,stays,general acute hospital,S08000032
S12000029,2013/2014,count,stays,210,Cirrhosis,stays,general acute hospital,S08000032
S12000029,2010/2011,count,stays,177,Withdrawal state,stays,general acute hospital,S08000032
S12000029,2013/2014,count,stays,309,Withdrawal state,stays,general acute hospital,S08000032
S12000028,2018/2019,count,stays,63,Unspecified,stays,general acute hospital,S08000015
S12000028,2009/2010,count,stays,30,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2018/2019,count,stays,105,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2018/2019,count,stays,60,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2017/2018,count,stays,33,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2015/2016,count,stays,48,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2011/2012,count,stays,120,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2010/2011,count,stays,93,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2016/2017,count,stays,117,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2013/2014,count,stays,24,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2013/2014,count,stays,105,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2010/2011,count,stays,12,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2014/2015,count,stays,69,Unspecified,stays,general acute hospital,S08000015
S12000028,2016/2017,count,stays,60,Unspecified,stays,general acute hospital,S08000015
S12000028,2016/2017,count,stays,36,Cirrhosis,stays,general acute hospital,S08000015
S12000028,2014/2015,count,stays,96,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2015/2016,count,stays,114,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2012/2013,count,stays,105,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2017/2018,count,stays,123,Withdrawal state,stays,general acute hospital,S08000015
S12000027,2013/2014,count,stays,6,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2010/2011,count,stays,6,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2012/2013,count,stays,6,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2011/2012,count,stays,12,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2009/2010,count,stays,39,Harmful Use,stays,general acute hospital,S08000026
S12000027,2012/2013,count,stays,0,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2017/2018,count,stays,3,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2011/2012,count,stays,87,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2015/2016,count,stays,12,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2018/2019,count,stays,33,Harmful Use,stays,general acute hospital,S08000026
S12000027,2016/2017,count,stays,18,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2014/2015,count,stays,18,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2015/2016,count,stays,54,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2012/2013,count,stays,27,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2016/2017,count,stays,6,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2017/2018,count,stays,9,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2014/2015,count,stays,6,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2017/2018,count,stays,18,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2009/2010,count,stays,24,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2014/2015,count,stays,3,Unspecified,stays,general acute hospital,S08000026
S12000027,2015/2016,count,stays,3,Unspecified,stays,general acute hospital,S08000026
S12000027,2016/2017,count,stays,0,Unspecified,stays,general acute hospital,S08000026
S12000027,2014/2015,count,stays,6,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2011/2012,count,stays,18,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2009/2010,count,stays,39,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2010/2011,count,stays,54,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2015/2016,count,stays,9,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2016/2017,count,stays,3,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2010/2011,count,stays,42,Harmful Use,stays,general acute hospital,S08000026
S12000027,2010/2011,count,stays,12,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2012/2013,count,stays,75,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2015/2016,count,stays,39,Harmful Use,stays,general acute hospital,S08000026
S12000027,2009/2010,count,stays,6,Unspecified,stays,general acute hospital,S08000026
S12000027,2018/2019,count,stays,15,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2016/2017,count,stays,21,Harmful Use,stays,general acute hospital,S08000026
S12000027,2013/2014,count,stays,9,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2013/2014,count,stays,27,Harmful Use,stays,general acute hospital,S08000026
S12000027,2018/2019,count,stays,0,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2010/2011,count,stays,6,Unspecified,stays,general acute hospital,S08000026
S12000027,2018/2019,count,stays,24,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000028,2012/2013,count,stays,303,Acute Intoxication,stays,general acute hospital,S08000015
S12000028,2018/2019,count,stays,225,Harmful Use,stays,general acute hospital,S08000015
S12000028,2014/2015,count,stays,87,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2018/2019,count,stays,237,Acute Intoxication,stays,general acute hospital,S08000015
S12000027,2011/2012,count,stays,12,Unspecified,stays,general acute hospital,S08000026
S12000027,2011/2012,count,stays,42,Harmful Use,stays,general acute hospital,S08000026
S12000027,2015/2016,count,stays,18,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2012/2013,count,stays,9,Unspecified,stays,general acute hospital,S08000026
S12000027,2018/2019,count,stays,12,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2015/2016,count,stays,9,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2010/2011,count,stays,33,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2012/2013,count,stays,24,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2010/2011,count,stays,21,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2013/2014,count,stays,63,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2011/2012,count,stays,27,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2016/2017,count,stays,72,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2018/2019,count,stays,42,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2014/2015,count,stays,54,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2013/2014,count,stays,27,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2009/2010,count,stays,15,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2017/2018,count,stays,33,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2014/2015,count,stays,15,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2011/2012,count,stays,39,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2013/2014,count,stays,9,Unspecified,stays,general acute hospital,S08000026
S12000027,2017/2018,count,stays,6,Unspecified,stays,general acute hospital,S08000026
S12000027,2012/2013,count,stays,18,Harmful Use,stays,general acute hospital,S08000026
S12000027,2009/2010,count,stays,27,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2009/2010,count,stays,15,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2016/2017,count,stays,18,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2014/2015,count,stays,30,Harmful Use,stays,general acute hospital,S08000026
S12000027,2017/2018,count,stays,30,Harmful Use,stays,general acute hospital,S08000026
S12000019,2010/2011,count,stays,105,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2009/2010,count,stays,84,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2017/2018,count,stays,60,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2018/2019,count,stays,51,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2015/2016,count,stays,66,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2012/2013,count,stays,105,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2011/2012,count,stays,78,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2013/2014,count,stays,72,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2014/2015,count,stays,90,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2016/2017,count,stays,117,Cirrhosis,stays,general acute hospital,S08000024
S12000019,2009/2010,count,stays,33,Cirrhosis,stays,general acute hospital,S08000024
S12000019,2015/2016,count,stays,27,Unspecified,stays,general acute hospital,S08000024
S12000019,2011/2012,count,stays,27,Unspecified,stays,general acute hospital,S08000024
S12000019,2016/2017,count,stays,51,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000019,2016/2017,count,stays,24,Unspecified,stays,general acute hospital,S08000024
S12000019,2014/2015,count,stays,18,Unspecified,stays,general acute hospital,S08000024
S12000019,2017/2018,count,stays,18,Unspecified,stays,general acute hospital,S08000024
S12000018,2015/2016,count,stays,72,Alcohol Dependence syndrome,stays,general acute hospital,S08000031
S12000018,2017/2018,count,stays,63,Alcohol Dependence syndrome,stays,general acute hospital,S08000031
S12000019,2017/2018,count,stays,81,Acute Intoxication,stays,general acute hospital,S08000024
S12000019,2011/2012,count,stays,54,Acute Intoxication,stays,general acute hospital,S08000024
S12000019,2010/2011,count,stays,60,Acute Intoxication,stays,general acute hospital,S08000024
S12000019,2012/2013,count,stays,96,Acute Intoxication,stays,general acute hospital,S08000024
S12000019,2009/2010,count,stays,72,Acute Intoxication,stays,general acute hospital,S08000024
S12000019,2017/2018,count,stays,138,Harmful Use,stays,general acute hospital,S08000024
S12000019,2015/2016,count,stays,105,Acute Intoxication,stays,general acute hospital,S08000024
S12000019,2014/2015,count,stays,108,Acute Intoxication,stays,general acute hospital,S08000024
S12000019,2016/2017,count,stays,96,Acute Intoxication,stays,general acute hospital,S08000024
S12000019,2013/2014,count,stays,75,Acute Intoxication,stays,general acute hospital,S08000024
