_id,FinancialYear,FinancialYearQF,AdmissionType,AdmissionTypeQF,HB,HBQF,SIMD,SIMDQF,Episodes,EpisodesQF,Stays,StaysQF,TotalLengthofEpisode,TotalLengthofEpisodeQF,TotalLengthofStay,TotalLengthofStayQF,AverageLengthofEpisodeRate,AverageLengthofEpisodeRateQF,AverageLengthofStayRate,AverageLengthofStayRateQF,Patients,PatientsQF
49,2010/11,"",All Inpatients, d,S08000022,"","",:,1135,"",928,"",3049,"",3286,"",2.69,"",3.54,"",909,""
50,2010/11,"",All Inpatients, d,S08000024,"",1,"",26645,"",18143,"",127933,"",127706,"",4.8,"",7.04,"",12381,""
51,2010/11,"",All Inpatients, d,S08000024,"",2,"",37098,"",25468,"",188086,"",189133,"",5.07,"",7.43,"",17505,""
52,2010/11,"",All Inpatients, d,S08000024,"",3,"",28703,"",19618,"",148057,"",142678,"",5.16,"",7.27,"",14045,""
53,2010/11,"",All Inpatients, d,S08000024,"",4,"",26320,"",17706,"",133673,"",133236,"",5.08,"",7.52,"",12843,""
54,2010/11,"",All Inpatients, d,S08000024,"",5,"",32967,"",22699,"",185382,"",186393,"",5.62,"",8.21,"",16511,""
55,2010/11,"",All Inpatients, d,S08000024,"",All SIMDs, d,154071,"",105288,"",790470,"",785710,"",5.13,"",7.46,"",74737,""
56,2010/11,"",All Inpatients, d,S08000024,"","",:,2338,"",1654,"",7339,"",6564,"",3.14,"",3.97,"",1452,""
57,2010/11,"",All Inpatients, d,S08000025,"",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
58,2010/11,"",All Inpatients, d,S08000025,"",2,"",499,"",466,"",2912,"",3697,"",5.84,"",7.93,"",314,""
59,2010/11,"",All Inpatients, d,S08000025,"",3,"",449,"",405,"",3123,"",4159,"",6.96,"",10.27,"",307,""
60,2010/11,"",All Inpatients, d,S08000025,"",4,"",944,"",839,"",6097,"",7601,"",6.46,"",9.06,"",639,""
61,2010/11,"",All Inpatients, d,S08000025,"",5,"",55,"",50,"",310,"",405,"",5.64,"",8.1,"",35,""
62,2010/11,"",All Inpatients, d,S08000025,"",All SIMDs, d,1993,"",1806,"",12570,"",16105,"",6.31,"",8.92,"",1340,""
63,2010/11,"",All Inpatients, d,S08000025,"","",:,47,"",45,"",125,"",240,"",2.66,"",5.33,"",43,""
64,2010/11,"",All Inpatients, d,S08000026,"",1,"",5,"",5,"",10,"",10,"",2,"",2,"",5,""
65,2010/11,"",All Inpatients, d,S08000026,"",2,"",191,"",186,"",874,"",1125,"",4.58,"",6.05,"",125,""
66,2010/11,"",All Inpatients, d,S08000026,"",3,"",901,"",862,"",3662,"",4344,"",4.06,"",5.04,"",642,""
67,2010/11,"",All Inpatients, d,S08000026,"",4,"",1019,"",981,"",5200,"",5950,"",5.1,"",6.07,"",745,""
68,2010/11,"",All Inpatients, d,S08000026,"",5,"",125,"",123,"",451,"",556,"",3.61,"",4.52,"",101,""
69,2010/11,"",All Inpatients, d,S08000026,"",All SIMDs, d,2287,"",2203,"",10310,"",12104,"",4.51,"",5.49,"",1662,""
70,2010/11,"",All Inpatients, d,S08000026,"","",:,45,"",45,"",115,"",120,"",2.56,"",2.67,"",45,""
71,2010/11,"",All Inpatients, d,S08000028,"",1,"",10,"",5,"",15,"",10,"",1.5,"",2,"",5,""
72,2010/11,"",All Inpatients, d,S08000028,"",2,"",1810,"",1470,"",15719,"",16474,"",8.68,"",11.21,"",1079,""
73,2010/11,"",All Inpatients, d,S08000028,"",3,"",2126,"",1755,"",16597,"",17866,"",7.81,"",10.18,"",1261,""
74,2010/11,"",All Inpatients, d,S08000028,"",4,"",15,"",15,"",43,"",159,"",2.87,"",10.6,"",15,""
75,2010/11,"",All Inpatients, d,S08000028,"",5,"",10,"",5,"",15,"",35,"",1.5,"",7,"",5,""
76,2010/11,"",All Inpatients, d,S08000028,"",All SIMDs, d,4023,"",3304,"",32512,"",34772,"",8.08,"",10.52,"",2418,""
77,2010/11,"",All Inpatients, d,S08000028,"","",:,54,"",50,"",122,"",231,"",2.26,"",4.62,"",49,""
78,2010/11,"",All Inpatients, d,S08000029,"",1,"",12723,"",8968,"",55835,"",55455,"",4.39,"",6.18,"",6337,""
79,2010/11,"",All Inpatients, d,S08000029,"",2,"",13941,"",9911,"",62492,"",62814,"",4.48,"",6.34,"",7077,""
80,2010/11,"",All Inpatients, d,S08000029,"",3,"",9674,"",6797,"",47723,"",46100,"",4.93,"",6.78,"",5005,""
81,2010/11,"",All Inpatients, d,S08000029,"",4,"",6748,"",4777,"",34310,"",31624,"",5.08,"",6.62,"",3617,""
82,2010/11,"",All Inpatients, d,S08000029,"",5,"",6203,"",4511,"",32072,"",30471,"",5.17,"",6.75,"",3580,""
83,2010/11,"",All Inpatients, d,S08000029,"",All SIMDs, d,49562,"",35164,"",233316,"",227454,"",4.71,"",6.47,"",25805,""
84,2010/11,"",All Inpatients, d,S08000029,"","",:,273,"",200,"",884,"",990,"",3.24,"",4.95,"",189,""
85,2010/11,"",All Inpatients, d,S08000030,"",1,"",15710,"",12391,"",81429,"",82884,"",5.18,"",6.69,"",8439,""
86,2010/11,"",All Inpatients, d,S08000030,"",2,"",13962,"",10949,"",73043,"",73775,"",5.23,"",6.74,"",7387,""
87,2010/11,"",All Inpatients, d,S08000030,"",3,"",14149,"",11164,"",74564,"",78327,"",5.27,"",7.02,"",7863,""
88,2010/11,"",All Inpatients, d,S08000030,"",4,"",20847,"",16650,"",105665,"",108665,"",5.07,"",6.53,"",11720,""
89,2010/11,"",All Inpatients, d,S08000030,"",5,"",12857,"",10268,"",64351,"",65485,"",5.01,"",6.38,"",7435,""
90,2010/11,"",All Inpatients, d,S08000030,"",All SIMDs, d,78072,"",61873,"",400677,"",410825,"",5.13,"",6.64,"",43276,""
91,2010/11,"",All Inpatients, d,S08000030,"","",:,547,"",451,"",1625,"",1689,"",2.97,"",3.75,"",432,""
92,2010/11,"",All Inpatients, d,S08000031,"",1,"",120153,"",88938,"",617697,"",611733,"",5.14,"",6.88,"",57814,""
93,2010/11,"",All Inpatients, d,S08000031,"",2,"",52938,"",39049,"",292362,"",283976,"",5.52,"",7.27,"",26541,""
94,2010/11,"",All Inpatients, d,S08000031,"",3,"",38316,"",28790,"",191755,"",187292,"",5,"",6.51,"",20265,""
95,2010/11,"",All Inpatients, d,S08000031,"",4,"",31151,"",23874,"",161725,"",158242,"",5.19,"",6.63,"",16806,""
96,2010/11,"",All Inpatients, d,S08000031,"",5,"",34485,"",25618,"",178581,"",176436,"",5.18,"",6.89,"",18042,""
97,2010/11,"",All Inpatients, d,S08000031,"",All SIMDs, d,278471,"",207327,"",1446775,"",1421928,"",5.2,"",6.86,"",140456,""
98,2010/11,"",All Inpatients, d,S08000031,"","",:,1428,"",1058,"",4655,"",4249,"",3.26,"",4.02,"",988,""
99,2010/11,"",All Inpatients, d,S08000032,"",1,"",33032,"",22921,"",141991,"",145386,"",4.3,"",6.34,"",15542,""
100,2010/11,"",All Inpatients, d,S08000032,"",2,"",29335,"",20117,"",139109,"",141707,"",4.74,"",7.04,"",14089,""
101,2010/11,"",All Inpatients, d,S08000032,"",3,"",19515,"",13633,"",92672,"",94451,"",4.75,"",6.93,"",9719,""
102,2010/11,"",All Inpatients, d,S08000032,"",4,"",9839,"",6959,"",43606,"",45015,"",4.43,"",6.47,"",5124,""
103,2010/11,"",All Inpatients, d,S08000032,"",5,"",7448,"",5491,"",32142,"",32846,"",4.32,"",5.98,"",4144,""
104,2010/11,"",All Inpatients, d,S08000032,"",All SIMDs, d,99393,"",69294,"",450146,"",460047,"",4.53,"",6.64,"",48783,""
105,2010/11,"",All Inpatients, d,S08000032,"","",:,224,"",173,"",626,"",642,"",2.79,"",3.71,"",165,""
106,2010/11,"",All Inpatients, d,SB0801,"",1,"",4325,"",1916,"",12874,"",12175,"",2.98,"",6.35,"",2362,""
107,2010/11,"",All Inpatients, d,SB0801,"",2,"",3637,"",1734,"",11374,"",11008,"",3.13,"",6.35,"",2024,""
108,2010/11,"",All Inpatients, d,SB0801,"",3,"",3090,"",1577,"",9984,"",9720,"",3.23,"",6.16,"",1783,""
109,2010/11,"",All Inpatients, d,SB0801,"",4,"",2480,"",1224,"",8056,"",7393,"",3.25,"",6.04,"",1412,""
110,2010/11,"",All Inpatients, d,SB0801,"",5,"",2269,"",1144,"",6531,"",6318,"",2.88,"",5.52,"",1285,""
111,2010/11,"",All Inpatients, d,SB0801,"",All SIMDs, d,15864,"",7622,"",48986,"",46756,"",3.09,"",6.13,"",8914,""
112,2010/11,"",All Inpatients, d,SB0801,"","",:,63,"",27,"",167,"",142,"",2.65,"",5.26,"",48,""
113,2010/11,"",All Inpatients, d,S27000001,"",1,"",603,"",446,"",9501,"",4581,"",15.76,"",10.27,"",558,""
114,2010/11,"",All Inpatients, d,S27000001,"",2,"",647,"",502,"",9815,"",5103,"",15.17,"",10.17,"",594,""
115,2010/11,"",All Inpatients, d,S27000001,"",3,"",571,"",455,"",7624,"",4473,"",13.35,"",9.83,"",519,""
116,2010/11,"",All Inpatients, d,S27000001,"",4,"",480,"",355,"",6983,"",2894,"",14.55,"",8.15,"",445,""
117,2010/11,"",All Inpatients, d,S27000001,"",5,"",483,"",386,"",6120,"",3647,"",12.67,"",9.45,"",446,""
118,2010/11,"",All Inpatients, d,S27000001,"",All SIMDs, d,2803,"",2162,"",40153,"",20779,"",14.33,"",9.61,"",2581,""
119,2010/11,"",All Inpatients, d,S27000001,"","",:,20,"",15,"",110,"",81,"",5.5,"",5.4,"",19,""
120,2010/11,"",All Inpatients and Daycases, d,S92000003, d,1,"",364790,"",291144,"",1275073,"",1272158,"",3.5,"",4.37,"",172113,""
121,2010/11,"",All Inpatients and Daycases, d,S92000003, d,2,"",318126,"",254409,"",1149883,"",1148981,"",3.61,"",4.52,"",151923,""
122,2010/11,"",All Inpatients and Daycases, d,S92000003, d,3,"",275005,"",222365,"",972403,"",968072,"",3.54,"",4.35,"",136627,""
123,2010/11,"",All Inpatients and Daycases, d,S92000003, d,4,"",241594,"",197371,"",835855,"",834950,"",3.46,"",4.23,"",122432,""
124,2010/11,"",All Inpatients and Daycases, d,S92000003, d,5,"",215447,"",176625,"",706898,"",706493,"",3.28,"",4,"",108245,""
125,2010/11,"",All Inpatients and Daycases, d,S92000003, d,All SIMDs, d,1424777,"",1149628,"",4968881,"",4959105,"",3.49,"",4.31,"",697909,""
126,2010/11,"",All Inpatients and Daycases, d,S92000003, d,"",:,9815,"",7714,"",28769,"",28451,"",2.93,"",3.69,"",6569,""
127,2010/11,"",All Inpatients and Daycases, d,S08000015,"",1,"",33482,"",28753,"",107540,"",108490,"",3.21,"",3.77,"",17552,""
128,2010/11,"",All Inpatients and Daycases, d,S08000015,"",2,"",30848,"",26709,"",103097,"",105765,"",3.34,"",3.96,"",15884,""
129,2010/11,"",All Inpatients and Daycases, d,S08000015,"",3,"",15337,"",13298,"",47349,"",47468,"",3.09,"",3.57,"",7955,""
130,2010/11,"",All Inpatients and Daycases, d,S08000015,"",4,"",12745,"",11213,"",37263,"",37221,"",2.92,"",3.32,"",6991,""
131,2010/11,"",All Inpatients and Daycases, d,S08000015,"",5,"",10360,"",9109,"",29119,"",29246,"",2.81,"",3.21,"",5559,""
132,2010/11,"",All Inpatients and Daycases, d,S08000015,"",All SIMDs, d,103149,"",89414,"",325263,"",329039,"",3.15,"",3.68,"",54238,""
133,2010/11,"",All Inpatients and Daycases, d,S08000015,"","",:,377,"",332,"",895,"",849,"",2.37,"",2.56,"",297,""
134,2010/11,"",All Inpatients and Daycases, d,S08000016,"",1,"",1546,"",1385,"",5155,"",5569,"",3.33,"",4.02,"",954,""
135,2010/11,"",All Inpatients and Daycases, d,S08000016,"",2,"",4535,"",3844,"",20863,"",20675,"",4.6,"",5.38,"",2505,""
136,2010/11,"",All Inpatients and Daycases, d,S08000016,"",3,"",7362,"",6433,"",29876,"",30369,"",4.06,"",4.72,"",4218,""
137,2010/11,"",All Inpatients and Daycases, d,S08000016,"",4,"",9136,"",8004,"",35528,"",36675,"",3.89,"",4.58,"",5239,""
138,2010/11,"",All Inpatients and Daycases, d,S08000016,"",5,"",1389,"",1204,"",7268,"",7286,"",5.23,"",6.05,"",798,""
139,2010/11,"",All Inpatients and Daycases, d,S08000016,"",All SIMDs, d,25460,"",22194,"",103337,"",105510,"",4.06,"",4.75,"",14677,""
140,2010/11,"",All Inpatients and Daycases, d,S08000016,"","",:,1492,"",1324,"",4647,"",4936,"",3.11,"",3.73,"",963,""
141,2010/11,"",All Inpatients and Daycases, d,S08000017,"",1,"",3289,"",2707,"",9413,"",10404,"",2.86,"",3.84,"",1846,""
142,2010/11,"",All Inpatients and Daycases, d,S08000017,"",2,"",9548,"",7621,"",36377,"",39683,"",3.81,"",5.21,"",5161,""
143,2010/11,"",All Inpatients and Daycases, d,S08000017,"",3,"",14713,"",11896,"",56285,"",58593,"",3.83,"",4.93,"",8255,""
144,2010/11,"",All Inpatients and Daycases, d,S08000017,"",4,"",8373,"",6736,"",31945,"",33943,"",3.82,"",5.04,"",4615,""
145,2010/11,"",All Inpatients and Daycases, d,S08000017,"",5,"",2519,"",2104,"",6440,"",6794,"",2.56,"",3.23,"",1438,""
146,2010/11,"",All Inpatients and Daycases, d,S08000017,"",All SIMDs, d,38865,"",31398,"",141890,"",150906,"",3.65,"",4.81,"",21634,""
147,2010/11,"",All Inpatients and Daycases, d,S08000017,"","",:,423,"",334,"",1430,"",1489,"",3.38,"",4.46,"",319,""
148,2010/11,"",All Inpatients and Daycases, d,S08000019,"",1,"",9200,"",7197,"",34937,"",35917,"",3.8,"",4.99,"",5203,""
149,2010/11,"",All Inpatients and Daycases, d,S08000019,"",2,"",13130,"",10100,"",51748,"",52674,"",3.94,"",5.22,"",7414,""
150,2010/11,"",All Inpatients and Daycases, d,S08000019,"",3,"",9241,"",7225,"",37098,"",37933,"",4.01,"",5.25,"",5379,""
151,2010/11,"",All Inpatients and Daycases, d,S08000019,"",4,"",8935,"",6955,"",33919,"",34147,"",3.8,"",4.91,"",5262,""
152,2010/11,"",All Inpatients and Daycases, d,S08000019,"",5,"",6917,"",5568,"",24461,"",25306,"",3.54,"",4.54,"",4306,""
153,2010/11,"",All Inpatients and Daycases, d,S08000019,"",All SIMDs, d,47592,"",37174,"",182658,"",186430,"",3.84,"",5.02,"",27691,""
154,2010/11,"",All Inpatients and Daycases, d,S08000019,"","",:,169,"",129,"",495,"",453,"",2.93,"",3.51,"",127,""
155,2010/11,"",All Inpatients and Daycases, d,S08000020,"",1,"",11341,"",8723,"",41571,"",42523,"",3.67,"",4.87,"",5646,""
156,2010/11,"",All Inpatients and Daycases, d,S08000020,"",2,"",22416,"",16978,"",84649,"",83994,"",3.78,"",4.95,"",11205,""
157,2010/11,"",All Inpatients and Daycases, d,S08000020,"",3,"",32224,"",24763,"",120211,"",118110,"",3.73,"",4.77,"",16821,""
158,2010/11,"",All Inpatients and Daycases, d,S08000020,"",4,"",33871,"",26435,"",123914,"",123384,"",3.66,"",4.67,"",18111,""
159,2010/11,"",All Inpatients and Daycases, d,S08000020,"",5,"",35458,"",28324,"",117766,"",118358,"",3.32,"",4.18,"",19224,""
160,2010/11,"",All Inpatients and Daycases, d,S08000020,"",All SIMDs, d,136123,"",105822,"",490597,"",488858,"",3.6,"",4.62,"",71569,""
161,2010/11,"",All Inpatients and Daycases, d,S08000020,"","",:,813,"",599,"",2486,"",2489,"",3.06,"",4.16,"",562,""
162,2010/11,"",All Inpatients and Daycases, d,S08000022,"",1,"",6992,"",5584,"",29170,"",29316,"",4.17,"",5.25,"",3546,""
163,2010/11,"",All Inpatients and Daycases, d,S08000022,"",2,"",15636,"",12903,"",57363,"",57375,"",3.67,"",4.45,"",8176,""
164,2010/11,"",All Inpatients and Daycases, d,S08000022,"",3,"",22782,"",18911,"",85823,"",86187,"",3.77,"",4.56,"",12157,""
165,2010/11,"",All Inpatients and Daycases, d,S08000022,"",4,"",18815,"",15565,"",67928,"",68797,"",3.61,"",4.42,"",9916,""
166,2010/11,"",All Inpatients and Daycases, d,S08000022,"",5,"",4927,"",3949,"",15888,"",16909,"",3.22,"",4.28,"",2544,""
167,2010/11,"",All Inpatients and Daycases, d,S08000022,"",All SIMDs, d,70301,"",57853,"",259221,"",261870,"",3.69,"",4.53,"",37257,""
168,2010/11,"",All Inpatients and Daycases, d,S08000022,"","",:,1149,"",941,"",3049,"",3286,"",2.65,"",3.49,"",918,""
169,2010/11,"",All Inpatients and Daycases, d,S08000024,"",1,"",34498,"",25941,"",127933,"",127706,"",3.71,"",4.92,"",16142,""
170,2010/11,"",All Inpatients and Daycases, d,S08000024,"",2,"",48898,"",37157,"",188086,"",189136,"",3.85,"",5.09,"",22895,""
171,2010/11,"",All Inpatients and Daycases, d,S08000024,"",3,"",40018,"",30847,"",148057,"",142679,"",3.7,"",4.63,"",18902,""
172,2010/11,"",All Inpatients and Daycases, d,S08000024,"",4,"",36687,"",27992,"",133673,"",133237,"",3.64,"",4.76,"",17481,""
173,2010/11,"",All Inpatients and Daycases, d,S08000024,"",5,"",49751,"",39362,"",185382,"",186395,"",3.73,"",4.74,"",23258,""
174,2010/11,"",All Inpatients and Daycases, d,S08000024,"",All SIMDs, d,212431,"",163190,"",790470,"",785717,"",3.72,"",4.81,"",100274,""
175,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",:,2579,"",1891,"",7339,"",6564,"",2.85,"",3.47,"",1596,""
176,2010/11,"",All Inpatients and Daycases, d,S08000025,"",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
177,2010/11,"",All Inpatients and Daycases, d,S08000025,"",2,"",1293,"",1260,"",2912,"",3697,"",2.25,"",2.93,"",568,""
178,2010/11,"",All Inpatients and Daycases, d,S08000025,"",3,"",1287,"",1242,"",3123,"",4159,"",2.43,"",3.35,"",557,""
179,2010/11,"",All Inpatients and Daycases, d,S08000025,"",4,"",2239,"",2132,"",6097,"",7601,"",2.72,"",3.57,"",1265,""
180,2010/11,"",All Inpatients and Daycases, d,S08000025,"",5,"",268,"",264,"",310,"",405,"",1.16,"",1.53,"",75,""
181,2010/11,"",All Inpatients and Daycases, d,S08000025,"",All SIMDs, d,5146,"",4956,"",12570,"",16105,"",2.44,"",3.25,"",2513,""
182,2010/11,"",All Inpatients and Daycases, d,S08000025,"","",:,60,"",55,"",125,"",240,"",2.08,"",4.36,"",45,""
183,2010/11,"",All Inpatients and Daycases, d,S08000026,"",1,"",5,"",5,"",10,"",10,"",2,"",2,"",5,""
184,2010/11,"",All Inpatients and Daycases, d,S08000026,"",2,"",307,"",302,"",874,"",1125,"",2.85,"",3.73,"",204,""
185,2010/11,"",All Inpatients and Daycases, d,S08000026,"",3,"",1677,"",1638,"",3662,"",4344,"",2.18,"",2.65,"",1132,""
186,2010/11,"",All Inpatients and Daycases, d,S08000026,"",4,"",1922,"",1884,"",5200,"",5950,"",2.71,"",3.16,"",1337,""
187,2010/11,"",All Inpatients and Daycases, d,S08000026,"",5,"",255,"",250,"",451,"",556,"",1.77,"",2.22,"",191,""
188,2010/11,"",All Inpatients and Daycases, d,S08000026,"",All SIMDs, d,4210,"",4126,"",10310,"",12104,"",2.45,"",2.93,"",2913,""
189,2010/11,"",All Inpatients and Daycases, d,S08000026,"","",:,45,"",45,"",115,"",120,"",2.56,"",2.67,"",45,""
190,2010/11,"",All Inpatients and Daycases, d,S08000028,"",1,"",10,"",5,"",15,"",10,"",1.5,"",2,"",5,""
191,2010/11,"",All Inpatients and Daycases, d,S08000028,"",2,"",2918,"",2577,"",15719,"",16474,"",5.39,"",6.39,"",1767,""
192,2010/11,"",All Inpatients and Daycases, d,S08000028,"",3,"",3442,"",3061,"",16597,"",17866,"",4.82,"",5.84,"",2085,""
193,2010/11,"",All Inpatients and Daycases, d,S08000028,"",4,"",17,"",15,"",43,"",159,"",2.53,"",10.6,"",15,""
194,2010/11,"",All Inpatients and Daycases, d,S08000028,"",5,"",10,"",10,"",15,"",35,"",1.5,"",3.5,"",5,""
195,2010/11,"",All Inpatients and Daycases, d,S08000028,"",All SIMDs, d,6449,"",5719,"",32512,"",34772,"",5.04,"",6.08,"",3930,""
196,2010/11,"",All Inpatients and Daycases, d,S08000028,"","",:,55,"",50,"",122,"",231,"",2.22,"",4.62,"",49,""
197,2010/11,"",All Inpatients and Daycases, d,S08000029,"",1,"",17326,"",13370,"",55835,"",55455,"",3.22,"",4.15,"",8272,""
198,2010/11,"",All Inpatients and Daycases, d,S08000029,"",2,"",20229,"",15940,"",62492,"",62814,"",3.09,"",3.94,"",9409,""
199,2010/11,"",All Inpatients and Daycases, d,S08000029,"",3,"",14188,"",11114,"",47723,"",46101,"",3.36,"",4.15,"",6794,""
200,2010/11,"",All Inpatients and Daycases, d,S08000029,"",4,"",10533,"",8442,"",34310,"",31624,"",3.26,"",3.75,"",5137,""
201,2010/11,"",All Inpatients and Daycases, d,S08000029,"",5,"",10037,"",8228,"",32072,"",30471,"",3.2,"",3.7,"",5134,""
