_id,FinancialYear,FinancialYearQF,AdmissionType,AdmissionTypeQF,HB,HBQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,Episodes,EpisodesQF,Stays,StaysQF,TotalLengthofEpisode,TotalLengthofEpisodeQF,TotalLengthofStay,TotalLengthofStayQF,AverageLengthofEpisodeRate,AverageLengthofEpisodeRateQF,AverageLengthofStayRate,AverageLengthofStayRateQF,Patients,PatientsQF
15,2010/11,"",All Inpatients, d,S92000003, d,AM,"",Palliative Medicine,"",4803,"",4647,"",76848,"",76848,"",16,"",16.54,"",3820,""
16,2010/11,"",All Inpatients, d,S92000003, d,AP,"",Rehabilitation Medicine,"",4427,"",3971,"",202704,"",202704,"",45.79,"",51.05,"",3727,""
17,2010/11,"",All Inpatients, d,S92000003, d,AQ,"",Respiratory Medicine,"",20637,"",19440,"",117121,"",117121,"",5.68,"",6.02,"",15075,""
18,2010/11,"",All Inpatients, d,S92000003, d,AR,"",Rheumatology,"",1883,"",1833,"",13613,"",13613,"",7.23,"",7.43,"",1151,""
19,2010/11,"",All Inpatients, d,S92000003, d,AW,"",Allergy,"",10,"",10,"",5,"",5,"",0.5,"",0.5,"",10,""
20,2010/11,"",All Inpatients, d,S92000003, d,C1,"",General Surgery,"",157774,"",131967,"",619574,"",619574,"",3.93,"",4.69,"",103569,""
21,2010/11,"",All Inpatients, d,S92000003, d,C2,"",Accident & Emergency,"",15827,"",15753,"",11031,"",11031,"",0.7,"",0.7,"",14083,""
22,2010/11,"",All Inpatients, d,S92000003, d,C3,"",Anaesthetics,"",9686,"",8414,"",37572,"",37572,"",3.88,"",4.47,"",8055,""
23,2010/11,"",All Inpatients, d,S92000003, d,C4,"",Cardiothoracic Surgery,"",17417,"",6471,"",55193,"",55193,"",3.17,"",8.53,"",5571,""
24,2010/11,"",All Inpatients, d,S92000003, d,C5,"","Ear, Nose & Throat (ENT)","",21035,"",20218,"",40755,"",40755,"",1.94,"",2.02,"",17719,""
25,2010/11,"",All Inpatients, d,S92000003, d,C6,"",Neurosurgery,"",9271,"",7323,"",51024,"",51024,"",5.5,"",6.97,"",6095,""
26,2010/11,"",All Inpatients, d,S92000003, d,C7,"",Ophthalmology,"",6663,"",6507,"",13757,"",13757,"",2.06,"",2.11,"",5408,""
27,2010/11,"",All Inpatients, d,S92000003, d,C8,"",Trauma and Orthopaedic Surgery,"",78080,"",72864,"",415368,"",415368,"",5.32,"",5.7,"",65507,""
28,2010/11,"",All Inpatients, d,S92000003, d,C9,"",Plastic Surgery,"",10937,"",10564,"",31964,"",31964,"",2.92,"",3.03,"",9450,""
29,2010/11,"",All Inpatients, d,S92000003, d,CA,"",Paediatric Surgery,"",6217,"",5525,"",19839,"",19839,"",3.19,"",3.59,"",4663,""
30,2010/11,"",All Inpatients, d,S92000003, d,CB,"",Urology,"",29506,"",27119,"",90682,"",90682,"",3.07,"",3.34,"",19997,""
31,2010/11,"",All Inpatients, d,S92000003, d,"",z,Community Grouping,d,20610,"",19293,"",326050,"",326050,"",15.82,"",16.9,"",14644,""
32,2010/11,"",All Inpatients, d,S92000003, d,D1,"",Community Dental Practice,"",36,"",40,"",19,"",19,"",0.53,"",0.48,"",34,""
33,2010/11,"",All Inpatients, d,S92000003, d,D3,"",Oral Surgery,"",2510,"",2391,"",6812,"",6812,"",2.71,"",2.85,"",2133,""
34,2010/11,"",All Inpatients, d,S92000003, d,D4,"",Oral Medicine,"",5,"",5,"",5,"",5,"",1,"",1,"",5,""
35,2010/11,"",All Inpatients, d,S92000003, d,D5,"",Orthodontics,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
36,2010/11,"",All Inpatients, d,S92000003, d,D6,"",Restorative Dentistry,"",12,"",12,"",5,"",5,"",0.42,"",0.42,"",12,""
37,2010/11,"",All Inpatients, d,S92000003, d,D8,"",Paediatric Dentistry,"",126,"",121,"",135,"",135,"",1.07,"",1.12,"",119,""
38,2010/11,"",All Inpatients, d,S92000003, d,"",z,Dental Grouping,d,2564,"",2449,"",6840,"",6840,"",2.67,"",2.79,"",2185,""
39,2010/11,"",All Inpatients, d,S92000003, d,E12,"",GP Other than Obstetrics,"",20610,"",19293,"",326050,"",326050,"",15.82,"",16.9,"",14644,""
40,2010/11,"",All Inpatients, d,S92000003, d,"",z,Emergency Grouping,d,15827,"",15753,"",11031,"",11031,"",0.7,"",0.7,"",14083,""
41,2010/11,"",All Inpatients, d,S92000003, d,F2,"",Gynaecology,"",27967,"",27336,"",60115,"",60115,"",2.15,"",2.2,"",23417,""
42,2010/11,"",All Inpatients, d,S92000003, d,H1,"",Clinical Radiology,"",214,"",202,"",262,"",262,"",1.22,"",1.3,"",159,""
43,2010/11,"",All Inpatients, d,S92000003, d,H2,"",Clinical Oncology,"",10552,"",10477,"",61918,"",61918,"",5.87,"",5.91,"",5214,""
44,2010/11,"",All Inpatients, d,S92000003, d,J4,"",Haematology,"",8884,"",8357,"",65605,"",65605,"",7.38,"",7.85,"",3495,""
45,2010/11,"",All Inpatients, d,S92000003, d,J5,"",Immunology,"",25,"",30,"",25,"",25,"",1,"",0.83,"",23,""
46,2010/11,"",All Inpatients, d,S92000003, d,"",z,Medical Grouping,d,521792,"",421279,"",3123132,"",3123132,"",5.99,"",7.41,"",238040,""
47,2010/11,"",All Inpatients, d,S92000003, d,"",z,Other Grouping,d,390,"",387,"",2054,"",2054,"",5.27,"",5.31,"",239,""
48,2010/11,"",All Inpatients, d,S92000003, d,"",z,Paediatrics Grouping,d,52176,"",49888,"",83770,"",83770,"",1.61,"",1.68,"",37693,""
49,2010/11,"",All Inpatients, d,S92000003, d,"",z,Surgery Grouping,d,340369,"",291447,"",1355889,"",1355889,"",3.98,"",4.65,"",225816,""
50,2010/11,"",All Inpatients, d,S92000003, d,"",z,Women and Newborn Grouping,d,27967,"",27336,"",60115,"",60115,"",2.15,"",2.2,"",23417,""
51,2010/11,"",All Inpatients, d,S08000015,"",A1,"",General Medicine,"",24144,"",22659,"",99528,"",99528,"",4.12,"",4.39,"",15824,""
52,2010/11,"",All Inpatients, d,S08000015,"",A2,"",Cardiology,"",3057,"",2483,"",10916,"",10916,"",3.57,"",4.4,"",2086,""
53,2010/11,"",All Inpatients, d,S08000015,"",A7,"",Dermatology,"",120,"",122,"",1880,"",1882,"",15.67,"",15.43,"",105,""
54,2010/11,"",All Inpatients, d,S08000015,"",AB,"",Geriatric Medicine,"",4939,"",4405,"",89177,"",89177,"",18.06,"",20.24,"",3648,""
55,2010/11,"",All Inpatients, d,S08000015,"",AD,"",Medical Oncology,"",269,"",269,"",435,"",435,"",1.62,"",1.62,"",108,""
56,2010/11,"",All Inpatients, d,S08000015,"",AF,"",Paediatrics,"",5024,"",5004,"",4521,"",4521,"",0.9,"",0.9,"",3892,""
57,2010/11,"",All Inpatients, d,S08000015,"",AG,"",Renal Medicine,"",594,"",546,"",5855,"",5855,"",9.86,"",10.72,"",455,""
58,2010/11,"",All Inpatients, d,S08000015,"","",z,All Acute Specialties, d,55310,"",51553,"",299066,"",299066,"",5.41,"",5.8,"",30178,""
59,2010/11,"",All Inpatients, d,S08000015,"","",z,All Specialties, d,66931,"",63038,"",325263,"",325263,"",4.86,"",5.16,"",37321,""
60,2010/11,"",All Inpatients, d,S08000015,"",AP,"",Rehabilitation Medicine,"",165,"",159,"",3110,"",3112,"",18.85,"",19.57,"",122,""
61,2010/11,"",All Inpatients, d,S08000015,"",C1,"",General Surgery,"",10917,"",10050,"",45216,"",45216,"",4.14,"",4.5,"",7457,""
62,2010/11,"",All Inpatients, d,S08000015,"",C2,"",Accident & Emergency,"",3464,"",3456,"",1819,"",1819,"",0.53,"",0.53,"",3211,""
63,2010/11,"",All Inpatients, d,S08000015,"",C3,"",Anaesthetics,"",569,"",523,"",2138,"",2138,"",3.76,"",4.09,"",516,""
64,2010/11,"",All Inpatients, d,S08000015,"",C5,"","Ear, Nose & Throat (ENT)","",1411,"",1380,"",2830,"",2831,"",2.01,"",2.05,"",1215,""
65,2010/11,"",All Inpatients, d,S08000015,"",C7,"",Ophthalmology,"",265,"",275,"",680,"",680,"",2.57,"",2.47,"",244,""
66,2010/11,"",All Inpatients, d,S08000015,"",C8,"",Trauma and Orthopaedic Surgery,"",5490,"",5412,"",26115,"",26115,"",4.76,"",4.83,"",4864,""
67,2010/11,"",All Inpatients, d,S08000015,"",C9,"",Plastic Surgery,"",10,"",10,"",5,"",5,"",0.5,"",0.5,"",10,""
68,2010/11,"",All Inpatients, d,S08000015,"",CB,"",Urology,"",2787,"",2693,"",8201,"",8201,"",2.94,"",3.05,"",1884,""
69,2010/11,"",All Inpatients, d,S08000015,"","",z,Community Grouping,d,1497,"",1424,"",14970,"",14970,"",10,"",10.51,"",1009,""
70,2010/11,"",All Inpatients, d,S08000015,"",D1,"",Community Dental Practice,"",0,"",5,"",0,"",0,"",0,"",0,"",0,""
71,2010/11,"",All Inpatients, d,S08000015,"",D3,"",Oral Surgery,"",5,"",5,"",15,"",15,"",3,"",3,"",5,""
72,2010/11,"",All Inpatients, d,S08000015,"","",z,Dental Grouping,d,5,"",11,"",15,"",17,"",3,"",1.55,"",5,""
73,2010/11,"",All Inpatients, d,S08000015,"",E12,"",GP Other than Obstetrics,"",1497,"",1424,"",14970,"",14970,"",10,"",10.51,"",1009,""
74,2010/11,"",All Inpatients, d,S08000015,"","",z,Emergency Grouping,d,3464,"",3456,"",1819,"",1819,"",0.53,"",0.53,"",3211,""
75,2010/11,"",All Inpatients, d,S08000015,"",F2,"",Gynaecology,"",1629,"",1590,"",4870,"",4870,"",2.99,"",3.06,"",1366,""
76,2010/11,"",All Inpatients, d,S08000015,"",H1,"",Clinical Radiology,"",5,"",21,"",5,"",5,"",1,"",0.24,"",5,""
77,2010/11,"",All Inpatients, d,S08000015,"",J4,"",Haematology,"",569,"",548,"",2970,"",2970,"",5.22,"",5.42,"",256,""
78,2010/11,"",All Inpatients, d,S08000015,"","",z,Medical Grouping,d,33861,"",31212,"",213878,"",213878,"",6.32,"",6.85,"",17784,""
79,2010/11,"",All Inpatients, d,S08000015,"","",z,Paediatrics Grouping,d,5024,"",5004,"",4521,"",4521,"",0.9,"",0.9,"",3892,""
80,2010/11,"",All Inpatients, d,S08000015,"","",z,Surgery Grouping,d,21449,"",20341,"",85188,"",85188,"",3.97,"",4.19,"",15331,""
81,2010/11,"",All Inpatients, d,S08000015,"","",z,Women and Newborn Grouping,d,1629,"",1590,"",4870,"",4870,"",2.99,"",3.06,"",1366,""
82,2010/11,"",All Inpatients, d,S08000016,"",A1,"",General Medicine,"",8113,"",7618,"",38014,"",38014,"",4.69,"",4.99,"",5750,""
83,2010/11,"",All Inpatients, d,S08000016,"",A2,"",Cardiology,"",540,"",509,"",3019,"",3019,"",5.59,"",5.93,"",427,""
84,2010/11,"",All Inpatients, d,S08000016,"",A7,"",Dermatology,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
85,2010/11,"",All Inpatients, d,S08000016,"",A8,"",Endocrinology & Diabetes,"",0,"",0,"",5,"",5,"",,z,,z,0,""
86,2010/11,"",All Inpatients, d,S08000016,"",A9,"",Gastroenterology,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
87,2010/11,"",All Inpatients, d,S08000016,"",AB,"",Geriatric Medicine,"",409,"",381,"",11579,"",11579,"",28.31,"",30.39,"",338,""
88,2010/11,"",All Inpatients, d,S08000016,"",AD,"",Medical Oncology,"",86,"",84,"",22,"",22,"",0.26,"",0.26,"",58,""
89,2010/11,"",All Inpatients, d,S08000016,"",AF,"",Paediatrics,"",1481,"",1463,"",1643,"",1643,"",1.11,"",1.12,"",1121,""
90,2010/11,"",All Inpatients, d,S08000016,"",AH,"",Neurology,"",18,"",17,"",314,"",314,"",17.44,"",18.47,"",14,""
91,2010/11,"",All Inpatients, d,S08000016,"","",z,All Acute Specialties, d,15431,"",13982,"",74593,"",74593,"",4.83,"",5.33,"",9446,""
92,2010/11,"",All Inpatients, d,S08000016,"","",z,All Specialties, d,19178,"",17619,"",103337,"",103337,"",5.39,"",5.87,"",11611,""
93,2010/11,"",All Inpatients, d,S08000016,"",AM,"",Palliative Medicine,"",108,"",106,"",1031,"",1031,"",9.55,"",9.73,"",85,""
94,2010/11,"",All Inpatients, d,S08000016,"",AP,"",Rehabilitation Medicine,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
95,2010/11,"",All Inpatients, d,S08000016,"",AQ,"",Respiratory Medicine,"",26,"",26,"",40,"",38,"",1.54,"",1.46,"",26,""
96,2010/11,"",All Inpatients, d,S08000016,"",AR,"",Rheumatology,"",5,"",5,"",15,"",17,"",3,"",3.4,"",5,""
97,2010/11,"",All Inpatients, d,S08000016,"",C1,"",General Surgery,"",2826,"",2426,"",7660,"",7662,"",2.71,"",3.16,"",2086,""
98,2010/11,"",All Inpatients, d,S08000016,"",C3,"",Anaesthetics,"",312,"",285,"",906,"",906,"",2.9,"",3.18,"",281,""
99,2010/11,"",All Inpatients, d,S08000016,"",C5,"","Ear, Nose & Throat (ENT)","",122,"",119,"",85,"",85,"",0.7,"",0.71,"",113,""
100,2010/11,"",All Inpatients, d,S08000016,"",C7,"",Ophthalmology,"",81,"",81,"",26,"",26,"",0.32,"",0.32,"",73,""
101,2010/11,"",All Inpatients, d,S08000016,"",C8,"",Trauma and Orthopaedic Surgery,"",2140,"",1713,"",9727,"",9727,"",4.55,"",5.68,"",1524,""
102,2010/11,"",All Inpatients, d,S08000016,"",CB,"",Urology,"",467,"",444,"",1234,"",1234,"",2.64,"",2.78,"",339,""
103,2010/11,"",All Inpatients, d,S08000016,"","",z,Community Grouping,d,1032,"",951,"",25611,"",25611,"",24.82,"",26.93,"",782,""
104,2010/11,"",All Inpatients, d,S08000016,"",D3,"",Oral Surgery,"",25,"",30,"",0,"",0,"",0,"",0,"",27,""
105,2010/11,"",All Inpatients, d,S08000016,"",D6,"",Restorative Dentistry,"",10,"",10,"",0,"",0,"",0,"",0,"",10,""
106,2010/11,"",All Inpatients, d,S08000016,"","",z,Dental Grouping,d,36,"",37,"",0,"",0,"",0,"",0,"",36,""
107,2010/11,"",All Inpatients, d,S08000016,"",E12,"",GP Other than Obstetrics,"",1032,"",951,"",25611,"",25611,"",24.82,"",26.93,"",782,""
108,2010/11,"",All Inpatients, d,S08000016,"",F2,"",Gynaecology,"",1198,"",1186,"",1488,"",1488,"",1.24,"",1.25,"",937,""
109,2010/11,"",All Inpatients, d,S08000016,"",J4,"",Haematology,"",177,"",167,"",912,"",912,"",5.15,"",5.46,"",77,""
110,2010/11,"",All Inpatients, d,S08000016,"","",z,Medical Grouping,d,9483,"",8914,"",54953,"",54953,"",5.79,"",6.16,"",6180,""
111,2010/11,"",All Inpatients, d,S08000016,"","",z,Paediatrics Grouping,d,1481,"",1463,"",1643,"",1643,"",1.11,"",1.12,"",1121,""
112,2010/11,"",All Inpatients, d,S08000016,"","",z,Surgery Grouping,d,5948,"",5068,"",19640,"",19640,"",3.3,"",3.88,"",4126,""
113,2010/11,"",All Inpatients, d,S08000016,"","",z,Women and Newborn Grouping,d,1198,"",1186,"",1488,"",1488,"",1.24,"",1.25,"",937,""
114,2010/11,"",All Inpatients, d,S08000017,"",A1,"",General Medicine,"",8101,"",6945,"",24841,"",24841,"",3.07,"",3.58,"",5229,""
115,2010/11,"",All Inpatients, d,S08000017,"",A2,"",Cardiology,"",1146,"",928,"",6027,"",6027,"",5.26,"",6.49,"",811,""
116,2010/11,"",All Inpatients, d,S08000017,"",A7,"",Dermatology,"",21,"",19,"",266,"",266,"",12.67,"",14,"",16,""
117,2010/11,"",All Inpatients, d,S08000017,"",A8,"",Endocrinology & Diabetes,"",10,"",10,"",15,"",15,"",1.5,"",1.5,"",11,""
118,2010/11,"",All Inpatients, d,S08000017,"",A9,"",Gastroenterology,"",104,"",146,"",289,"",289,"",2.78,"",1.98,"",89,""
119,2010/11,"",All Inpatients, d,S08000017,"",AB,"",Geriatric Medicine,"",1905,"",1750,"",29529,"",29529,"",15.5,"",16.87,"",1475,""
120,2010/11,"",All Inpatients, d,S08000017,"",AF,"",Paediatrics,"",1538,"",1533,"",2330,"",2330,"",1.51,"",1.52,"",1177,""
121,2010/11,"",All Inpatients, d,S08000017,"",AH,"",Neurology,"",55,"",54,"",65,"",63,"",1.18,"",1.17,"",10,""
122,2010/11,"",All Inpatients, d,S08000017,"","",z,All Acute Specialties, d,20573,"",18108,"",107356,"",107356,"",5.22,"",5.93,"",10636,""
123,2010/11,"",All Inpatients, d,S08000017,"","",z,All Specialties, d,25383,"",22706,"",141890,"",141890,"",5.59,"",6.25,"",13370,""
124,2010/11,"",All Inpatients, d,S08000017,"",AM,"",Palliative Medicine,"",496,"",435,"",3919,"",3919,"",7.9,"",9.01,"",335,""
125,2010/11,"",All Inpatients, d,S08000017,"",AP,"",Rehabilitation Medicine,"",235,"",224,"",7293,"",7293,"",31.03,"",32.56,"",219,""
126,2010/11,"",All Inpatients, d,S08000017,"",AQ,"",Respiratory Medicine,"",496,"",452,"",2625,"",2624,"",5.29,"",5.81,"",375,""
127,2010/11,"",All Inpatients, d,S08000017,"",AR,"",Rheumatology,"",25,"",25,"",52,"",52,"",2.08,"",2.08,"",23,""
128,2010/11,"",All Inpatients, d,S08000017,"",C1,"",General Surgery,"",4357,"",3622,"",16971,"",16971,"",3.9,"",4.69,"",2876,""
129,2010/11,"",All Inpatients, d,S08000017,"",C3,"",Anaesthetics,"",5,"",5,"",5,"",5,"",1,"",1,"",5,""
130,2010/11,"",All Inpatients, d,S08000017,"",C5,"","Ear, Nose & Throat (ENT)","",615,"",609,"",719,"",719,"",1.17,"",1.18,"",548,""
131,2010/11,"",All Inpatients, d,S08000017,"",C7,"",Ophthalmology,"",85,"",80,"",100,"",100,"",1.18,"",1.25,"",75,""
132,2010/11,"",All Inpatients, d,S08000017,"",C8,"",Trauma and Orthopaedic Surgery,"",2252,"",2155,"",11970,"",11970,"",5.32,"",5.55,"",1959,""
133,2010/11,"",All Inpatients, d,S08000017,"",CB,"",Urology,"",383,"",383,"",1040,"",1039,"",2.72,"",2.71,"",312,""
134,2010/11,"",All Inpatients, d,S08000017,"","",z,Community Grouping,d,2049,"",1859,"",30175,"",30175,"",14.73,"",16.23,"",1441,""
135,2010/11,"",All Inpatients, d,S08000017,"",D1,"",Community Dental Practice,"",11,"",11,"",5,"",5,"",0.45,"",0.45,"",10,""
136,2010/11,"",All Inpatients, d,S08000017,"",D3,"",Oral Surgery,"",196,"",194,"",260,"",260,"",1.33,"",1.34,"",169,""
137,2010/11,"",All Inpatients, d,S08000017,"","",z,Dental Grouping,d,207,"",205,"",265,"",265,"",1.28,"",1.29,"",178,""
138,2010/11,"",All Inpatients, d,S08000017,"",E12,"",GP Other than Obstetrics,"",2049,"",1859,"",30175,"",30175,"",14.73,"",16.23,"",1441,""
139,2010/11,"",All Inpatients, d,S08000017,"",F2,"",Gynaecology,"",1016,"",1001,"",1764,"",1764,"",1.74,"",1.76,"",853,""
140,2010/11,"",All Inpatients, d,S08000017,"",H2,"",Clinical Oncology,"",0,"",0,"",10,"",10,"",,z,,z,0,""
141,2010/11,"",All Inpatients, d,S08000017,"",J4,"",Haematology,"",279,"",262,"",1621,"",1621,"",5.81,"",6.19,"",136,""
142,2010/11,"",All Inpatients, d,S08000017,"","",z,Medical Grouping,d,12873,"",11252,"",76549,"",76549,"",5.95,"",6.8,"",6037,""
143,2010/11,"",All Inpatients, d,S08000017,"","",z,Paediatrics Grouping,d,1538,"",1533,"",2330,"",2330,"",1.51,"",1.52,"",1177,""
144,2010/11,"",All Inpatients, d,S08000017,"","",z,Surgery Grouping,d,7700,"",6856,"",30805,"",30807,"",4,"",4.49,"",5567,""
145,2010/11,"",All Inpatients, d,S08000017,"","",z,Women and Newborn Grouping,d,1016,"",1001,"",1764,"",1764,"",1.74,"",1.76,"",853,""
146,2010/11,"",All Inpatients, d,S08000019,"",A1,"",General Medicine,"",10318,"",9067,"",33861,"",33861,"",3.28,"",3.73,"",7030,""
147,2010/11,"",All Inpatients, d,S08000019,"",A2,"",Cardiology,"",963,"",808,"",4048,"",4048,"",4.2,"",5.01,"",749,""
148,2010/11,"",All Inpatients, d,S08000019,"",A9,"",Gastroenterology,"",238,"",220,"",1054,"",1054,"",4.43,"",4.79,"",211,""
149,2010/11,"",All Inpatients, d,S08000019,"",AB,"",Geriatric Medicine,"",9310,"",5636,"",73877,"",73877,"",7.94,"",13.11,"",4263,""
150,2010/11,"",All Inpatients, d,S08000019,"",AF,"",Paediatrics,"",3101,"",3090,"",3955,"",3955,"",1.28,"",1.28,"",2399,""
151,2010/11,"",All Inpatients, d,S08000019,"",AG,"",Renal Medicine,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
152,2010/11,"",All Inpatients, d,S08000019,"",AH,"",Neurology,"",5,"",5,"",30,"",28,"",6,"",5.6,"",5,""
153,2010/11,"",All Inpatients, d,S08000019,"","",z,All Acute Specialties, d,33590,"",26791,"",175379,"",175379,"",5.22,"",6.55,"",17426,""
154,2010/11,"",All Inpatients, d,S08000019,"","",z,All Specialties, d,38405,"",31536,"",182658,"",182658,"",4.76,"",5.79,"",20986,""
155,2010/11,"",All Inpatients, d,S08000019,"",AP,"",Rehabilitation Medicine,"",31,"",26,"",2183,"",2183,"",70.42,"",83.96,"",26,""
156,2010/11,"",All Inpatients, d,S08000019,"",AQ,"",Respiratory Medicine,"",518,"",458,"",2031,"",2031,"",3.92,"",4.43,"",442,""
157,2010/11,"",All Inpatients, d,S08000019,"",AR,"",Rheumatology,"",0,"",0,"",15,"",17,"",,z,,z,0,""
158,2010/11,"",All Inpatients, d,S08000019,"",C1,"",General Surgery,"",6162,"",5195,"",29356,"",29356,"",4.76,"",5.65,"",4257,""
159,2010/11,"",All Inpatients, d,S08000019,"",C2,"",Accident & Emergency,"",37,"",35,"",37,"",37,"",1,"",1.06,"",35,""
160,2010/11,"",All Inpatients, d,S08000019,"",C3,"",Anaesthetics,"",11,"",11,"",10,"",11,"",0.91,"",1,"",10,""
161,2010/11,"",All Inpatients, d,S08000019,"",C5,"","Ear, Nose & Throat (ENT)","",972,"",957,"",1339,"",1339,"",1.38,"",1.4,"",891,""
162,2010/11,"",All Inpatients, d,S08000019,"",C7,"",Ophthalmology,"",75,"",76,"",190,"",190,"",2.53,"",2.5,"",70,""
163,2010/11,"",All Inpatients, d,S08000019,"",C8,"",Trauma and Orthopaedic Surgery,"",3524,"",2980,"",22444,"",22444,"",6.37,"",7.53,"",2742,""
164,2010/11,"",All Inpatients, d,S08000019,"",CA,"",Paediatric Surgery,"",58,"",58,"",11,"",11,"",0.19,"",0.19,"",58,""
165,2010/11,"",All Inpatients, d,S08000019,"",CB,"",Urology,"",1283,"",1188,"",3382,"",3382,"",2.64,"",2.85,"",924,""
166,2010/11,"",All Inpatients, d,S08000019,"",D3,"",Oral Surgery,"",115,"",115,"",281,"",281,"",2.44,"",2.44,"",104,""
167,2010/11,"",All Inpatients, d,S08000019,"",D5,"",Orthodontics,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
168,2010/11,"",All Inpatients, d,S08000019,"","",z,Dental Grouping,d,119,"",115,"",281,"",281,"",2.36,"",2.44,"",106,""
169,2010/11,"",All Inpatients, d,S08000019,"","",z,Emergency Grouping,d,37,"",35,"",37,"",37,"",1,"",1.06,"",35,""
170,2010/11,"",All Inpatients, d,S08000019,"",F2,"",Gynaecology,"",1500,"",1447,"",2995,"",2995,"",2,"",2.07,"",1256,""
171,2010/11,"",All Inpatients, d,S08000019,"",J4,"",Haematology,"",175,"",162,"",1558,"",1558,"",8.9,"",9.62,"",101,""
172,2010/11,"",All Inpatients, d,S08000019,"","",z,Medical Grouping,d,21563,"",16384,"",118657,"",118657,"",5.5,"",7.24,"",10743,""
173,2010/11,"",All Inpatients, d,S08000019,"","",z,Paediatrics Grouping,d,3159,"",3148,"",3966,"",3966,"",1.26,"",1.26,"",2454,""
174,2010/11,"",All Inpatients, d,S08000019,"","",z,Surgery Grouping,d,12027,"",10407,"",56722,"",56722,"",4.72,"",5.45,"",8559,""
175,2010/11,"",All Inpatients, d,S08000019,"","",z,Women and Newborn Grouping,d,1500,"",1447,"",2995,"",2995,"",2,"",2.07,"",1256,""
176,2010/11,"",All Inpatients, d,S08000020,"",A1,"",General Medicine,"",26301,"",16570,"",76871,"",76871,"",2.92,"",4.64,"",13297,""
177,2010/11,"",All Inpatients, d,S08000020,"",A2,"",Cardiology,"",3860,"",2626,"",16518,"",16518,"",4.28,"",6.29,"",2294,""
178,2010/11,"",All Inpatients, d,S08000020,"",A6,"",Infectious Diseases,"",903,"",875,"",6529,"",6529,"",7.23,"",7.46,"",816,""
179,2010/11,"",All Inpatients, d,S08000020,"",A7,"",Dermatology,"",165,"",161,"",2504,"",2504,"",15.18,"",15.55,"",130,""
180,2010/11,"",All Inpatients, d,S08000020,"",A8,"",Endocrinology & Diabetes,"",94,"",91,"",455,"",455,"",4.84,"",5,"",73,""
181,2010/11,"",All Inpatients, d,S08000020,"",A9,"",Gastroenterology,"",2242,"",2174,"",13343,"",13343,"",5.95,"",6.14,"",1713,""
