id,financial_year,admission_type,hb,age,sex,episodes,stays,total_lengthof_episode,total_lengthof_stay,average_lengthof_episode_rate,average_lengthof_stay_rate,patients,age_factor
28,2010/11,All Inpatients,S92000003,45-49 years,All Sexes,53464,42653,178005,172760,3.33,4.05,29637,45-49 years
29,2010/11,All Inpatients,S92000003,45-49 years,Female,27448,22561,90523,86264,3.3,3.82,15770,45-49 years
30,2010/11,All Inpatients,S92000003,45-49 years,Male,26016,20092,87482,86496,3.36,4.3,13867,45-49 years
31,2010/11,All Inpatients,S92000003,5-9 years,All Sexes,14448,13283,24581,24634,1.7,1.85,10339,5-9 years
32,2010/11,All Inpatients,S92000003,5-9 years,Female,6215,5745,11185,11195,1.8,1.95,4390,5-9 years
33,2010/11,All Inpatients,S92000003,5-9 years,Male,8230,7539,13395,13440,1.63,1.78,5948,5-9 years
34,2010/11,All Inpatients,S92000003,50-54 years,All Sexes,58866,45242,215810,213340,3.67,4.72,30886,50-54 years
35,2010/11,All Inpatients,S92000003,50-54 years,Female,28879,22961,108005,107173,3.74,4.67,15927,50-54 years
36,2010/11,All Inpatients,S92000003,50-54 years,Male,29987,22281,107805,106167,3.6,4.76,14959,50-54 years
37,2010/11,All Inpatients,S92000003,55-59 years,All Sexes,62880,46688,258848,258916,4.12,5.55,31166,55-59 years
38,2010/11,All Inpatients,S92000003,55-59 years,Female,29590,22840,121360,121840,4.1,5.33,15500,55-59 years
39,2010/11,All Inpatients,S92000003,55-59 years,Male,33289,23847,137486,137074,4.13,5.75,15663,55-59 years
40,2010/11,All Inpatients,S92000003,60-64 years,All Sexes,79653,57488,362173,361812,4.55,6.29,37403,60-64 years
41,2010/11,All Inpatients,S92000003,60-64 years,Female,36468,27312,169241,168738,4.64,6.18,18137,60-64 years
42,2010/11,All Inpatients,S92000003,60-64 years,Male,43185,30176,192932,193074,4.47,6.4,19266,60-64 years
43,2010/11,All Inpatients,S92000003,65-69 years,All Sexes,80913,56373,411441,411669,5.08,7.3,36005,65-69 years
44,2010/11,All Inpatients,S92000003,65-69 years,Female,37790,27045,191190,190670,5.06,7.05,17815,65-69 years
45,2010/11,All Inpatients,S92000003,65-69 years,Male,43120,29325,220240,220990,5.11,7.54,18185,65-69 years
46,2010/11,All Inpatients,S92000003,65 years and over,All Sexes,462352,294820,3336028,3335964,7.22,11.32,187031,NA
47,2010/11,All Inpatients,S92000003,65 years and over,Female,251649,160066,1966322,1966041,7.81,12.28,104593,NA
48,2010/11,All Inpatients,S92000003,65 years and over,Male,210700,134755,1369668,1369915,6.5,10.17,82435,NA
49,2010/11,All Inpatients,S92000003,70-74 years,All Sexes,93079,62426,520209,519863,5.59,8.33,38991,70-74 years
50,2010/11,All Inpatients,S92000003,70-74 years,Female,45562,30953,265175,264780,5.82,8.55,19885,70-74 years
51,2010/11,All Inpatients,S92000003,70-74 years,Male,47517,31473,255030,255080,5.37,8.1,19105,70-74 years
52,2010/11,All Inpatients,S92000003,75-79 years,All Sexes,99684,63515,674664,675051,6.77,10.63,39569,75-79 years
53,2010/11,All Inpatients,S92000003,75-79 years,Female,51890,33107,371826,372340,7.17,11.25,21252,75-79 years
54,2010/11,All Inpatients,S92000003,75-79 years,Male,47794,30408,302840,302711,6.34,9.95,18317,75-79 years
55,2010/11,All Inpatients,S92000003,75 years and over,All Sexes,288360,176021,2404378,2404432,8.34,13.66,112035,NA
56,2010/11,All Inpatients,S92000003,75 years and over,Female,168295,102066,1509953,1510589,8.97,14.8,66891,NA
57,2010/11,All Inpatients,S92000003,75 years and over,Male,120065,73955,894395,893843,7.45,12.09,45144,NA
58,2010/11,All Inpatients,S92000003,80-84 years,All Sexes,89359,54434,724719,724220,8.11,13.3,34786,80-84 years
59,2010/11,All Inpatients,S92000003,80-84 years,Female,50903,30926,440245,440136,8.65,14.23,20403,80-84 years
60,2010/11,All Inpatients,S92000003,80-84 years,Male,38455,23508,284445,284084,7.4,12.08,14383,80-84 years
61,2010/11,All Inpatients,S92000003,85-89 years,All Sexes,64121,37766,623182,623477,9.72,16.51,24521,85-89 years
62,2010/11,All Inpatients,S92000003,85-89 years,Female,40355,23610,415846,416540,10.3,17.64,15700,85-89 years
63,2010/11,All Inpatients,S92000003,85-89 years,Male,23770,14160,207336,206935,8.72,14.61,8820,85-89 years
64,2010/11,All Inpatients,S92000003,85 years and over,All Sexes,99317,58072,1004995,1005161,10.12,17.31,37680,NA
65,2010/11,All Inpatients,S92000003,85 years and over,Female,65502,38033,697882,698113,10.65,18.36,25236,NA
66,2010/11,All Inpatients,S92000003,85 years and over,Male,33815,20039,307113,307048,9.08,15.32,12444,NA
67,2010/11,All Inpatients,S92000003,90 years and over,All Sexes,35196,20306,381813,381684,10.85,18.8,13159,90 years and over
68,2010/11,All Inpatients,S92000003,90 years and over,Female,25150,14425,282036,281570,11.21,19.52,9535,90 years and over
69,2010/11,All Inpatients,S92000003,90 years and over,Male,10045,5880,99777,100115,9.93,17.03,3625,90 years and over
70,2010/11,All Inpatients,S92000003,All Ages,All Sexes,981695,715389,4968881,4959073,5.06,6.93,485946,NA
71,2010/11,All Inpatients,S92000003,All Ages,Female,507829,372376,2764299,2755918,5.44,7.4,255964,NA
72,2010/11,All Inpatients,S92000003,All Ages,Male,473859,343007,2204538,2203142,4.65,6.42,229976,NA
1219,2010/11,All Inpatients and Daycases,S92000003,Under 18 years,All Sexes,121245,111973,165564,167326,1.37,1.49,80613,NA
1220,2010/11,All Inpatients and Daycases,S92000003,Under 18 years,Female,54568,50414,75326,75914,1.38,1.51,36426,NA
1221,2010/11,All Inpatients and Daycases,S92000003,Under 18 years,Male,66675,61557,90236,91410,1.35,1.48,44185,NA
1222,2010/11,All Inpatients and Daycases,S92000003,0-4 years,All Sexes,55541,50840,87702,89134,1.58,1.75,35609,0-4 years
1223,2010/11,All Inpatients and Daycases,S92000003,0-4 years,Female,23360,21365,37940,38365,1.62,1.8,14990,0-4 years
1224,2010/11,All Inpatients and Daycases,S92000003,0-4 years,Male,32179,29474,49760,50766,1.55,1.72,20616,0-4 years
1225,2010/11,All Inpatients and Daycases,S92000003,10-14 years,All Sexes,22531,20840,28696,28961,1.27,1.39,14922,10-14 years
1226,2010/11,All Inpatients and Daycases,S92000003,10-14 years,Female,10365,9550,13856,14057,1.34,1.47,6844,10-14 years
1227,2010/11,All Inpatients and Daycases,S92000003,10-14 years,Male,12165,11290,14840,14904,1.22,1.32,8078,10-14 years
1228,2010/11,All Inpatients and Daycases,S92000003,15-19 years,All Sexes,34358,31388,47039,46659,1.37,1.49,23067,15-19 years
1229,2010/11,All Inpatients and Daycases,S92000003,15-19 years,Female,19114,17594,23430,23313,1.23,1.33,13143,15-19 years
1230,2010/11,All Inpatients and Daycases,S92000003,15-19 years,Male,15244,13794,23608,23346,1.55,1.69,9924,15-19 years
1231,2010/11,All Inpatients and Daycases,S92000003,20-24 years,All Sexes,41969,38348,63173,58514,1.51,1.53,28739,20-24 years
1232,2010/11,All Inpatients and Daycases,S92000003,20-24 years,Female,24122,22265,34681,30276,1.44,1.36,16661,20-24 years
1233,2010/11,All Inpatients and Daycases,S92000003,20-24 years,Male,17845,16079,28490,28235,1.6,1.76,12076,20-24 years
1234,2010/11,All Inpatients and Daycases,S92000003,25-29 years,All Sexes,44638,40442,63489,64667,1.42,1.6,29206,25-29 years
1235,2010/11,All Inpatients and Daycases,S92000003,25-29 years,Female,25676,23473,32796,33712,1.28,1.44,16848,25-29 years
1236,2010/11,All Inpatients and Daycases,S92000003,25-29 years,Male,18962,16969,30693,30955,1.62,1.82,12358,25-29 years
1237,2010/11,All Inpatients and Daycases,S92000003,30-34 years,All Sexes,44619,40146,67803,67787,1.52,1.69,28413,30-34 years
1238,2010/11,All Inpatients and Daycases,S92000003,30-34 years,Female,25189,22954,34442,34381,1.37,1.5,16025,30-34 years
1239,2010/11,All Inpatients and Daycases,S92000003,30-34 years,Male,19430,17192,33361,33406,1.72,1.94,12388,30-34 years
1240,2010/11,All Inpatients and Daycases,S92000003,35-39 years,All Sexes,54985,48908,94736,94246,1.72,1.93,33510,35-39 years
1241,2010/11,All Inpatients and Daycases,S92000003,35-39 years,Female,30919,27991,49332,48696,1.6,1.74,18751,35-39 years
1242,2010/11,All Inpatients and Daycases,S92000003,35-39 years,Male,24066,20917,45404,45550,1.89,2.18,14759,35-39 years
1243,2010/11,All Inpatients and Daycases,S92000003,40-44 years,All Sexes,71933,63473,140798,141689,1.96,2.23,41336,40-44 years
1244,2010/11,All Inpatients and Daycases,S92000003,40-44 years,Female,39716,35850,71181,71869,1.79,2,22894,40-44 years
1245,2010/11,All Inpatients and Daycases,S92000003,40-44 years,Male,32217,27623,69617,69820,2.16,2.53,18442,40-44 years
1246,2010/11,All Inpatients and Daycases,S92000003,45-49 years,All Sexes,86267,75032,178005,172761,2.06,2.3,46162,45-49 years
1247,2010/11,All Inpatients and Daycases,S92000003,45-49 years,Female,47018,41929,90523,86264,1.93,2.06,25180,45-49 years
1248,2010/11,All Inpatients and Daycases,S92000003,45-49 years,Male,39249,33103,87482,86497,2.23,2.61,20982,45-49 years
1249,2010/11,All Inpatients and Daycases,S92000003,5-9 years,All Sexes,24803,23471,24581,24635,0.99,1.05,17942,5-9 years
1250,2010/11,All Inpatients and Daycases,S92000003,5-9 years,Female,10885,10330,11185,11195,1.03,1.08,7765,5-9 years
1251,2010/11,All Inpatients and Daycases,S92000003,5-9 years,Male,13918,13139,13395,13440,0.96,1.02,10177,5-9 years
1252,2010/11,All Inpatients and Daycases,S92000003,50-54 years,All Sexes,94488,80379,215810,213345,2.28,2.65,47723,50-54 years
1253,2010/11,All Inpatients and Daycases,S92000003,50-54 years,Female,49575,43424,108005,107177,2.18,2.47,25243,50-54 years
1254,2010/11,All Inpatients and Daycases,S92000003,50-54 years,Male,44913,36955,107805,106168,2.4,2.87,22480,50-54 years
1255,2010/11,All Inpatients and Daycases,S92000003,55-59 years,All Sexes,101375,84523,258848,258920,2.55,3.06,47826,55-59 years
1256,2010/11,All Inpatients and Daycases,S92000003,55-59 years,Female,50345,43302,121360,121840,2.41,2.81,24259,55-59 years
1257,2010/11,All Inpatients and Daycases,S92000003,55-59 years,Male,51029,41220,137486,137077,2.69,3.33,23567,55-59 years
1258,2010/11,All Inpatients and Daycases,S92000003,60-64 years,All Sexes,125112,102169,362173,361812,2.89,3.54,56152,60-64 years
1259,2010/11,All Inpatients and Daycases,S92000003,60-64 years,Female,59747,50264,169241,168738,2.83,3.36,27484,60-64 years
1260,2010/11,All Inpatients and Daycases,S92000003,60-64 years,Male,65365,51905,192932,193074,2.95,3.72,28668,60-64 years
1261,2010/11,All Inpatients and Daycases,S92000003,65-69 years,All Sexes,124988,99532,411441,411672,3.29,4.14,52966,65-69 years
1262,2010/11,All Inpatients and Daycases,S92000003,65-69 years,Female,59875,48770,191190,190670,3.19,3.91,26395,65-69 years
1263,2010/11,All Inpatients and Daycases,S92000003,65-69 years,Male,65113,50760,220240,220995,3.38,4.35,26569,65-69 years
1264,2010/11,All Inpatients and Daycases,S92000003,65 years and over,All Sexes,622158,449669,3336028,3335975,5.36,7.42,247302,NA
1265,2010/11,All Inpatients and Daycases,S92000003,65 years and over,Female,334309,240246,1966322,1966046,5.88,8.18,137022,NA
1266,2010/11,All Inpatients and Daycases,S92000003,65 years and over,Male,287845,209420,1369668,1369920,4.76,6.54,110280,NA
1267,2010/11,All Inpatients and Daycases,S92000003,70-74 years,All Sexes,136511,104807,520209,519869,3.81,4.96,55147,70-74 years
1268,2010/11,All Inpatients and Daycases,S92000003,70-74 years,Female,67520,52423,265175,264785,3.93,5.05,28325,70-74 years
1269,2010/11,All Inpatients and Daycases,S92000003,70-74 years,Male,68992,52385,255030,255085,3.7,4.87,26825,70-74 years
1270,2010/11,All Inpatients and Daycases,S92000003,75-79 years,All Sexes,135211,97987,674664,675052,4.99,6.89,53179,75-79 years
1271,2010/11,All Inpatients and Daycases,S92000003,75-79 years,Female,70046,50760,371826,372340,5.31,7.34,28653,75-79 years
1272,2010/11,All Inpatients and Daycases,S92000003,75-79 years,Male,65165,47227,302840,302712,4.65,6.41,24526,75-79 years
1273,2010/11,All Inpatients and Daycases,S92000003,75 years and over,All Sexes,360659,245330,2404378,2404434,6.67,9.8,139189,NA
1274,2010/11,All Inpatients and Daycases,S92000003,75 years and over,Female,206917,139052,1509953,1510589,7.3,10.86,82303,NA
1275,2010/11,All Inpatients and Daycases,S92000003,75 years and over,Male,153740,106278,894395,893845,5.82,8.41,56886,NA
1276,2010/11,All Inpatients and Daycases,S92000003,80-84 years,All Sexes,112328,76386,724719,724220,6.45,9.48,43316,80-84 years
1277,2010/11,All Inpatients and Daycases,S92000003,80-84 years,Female,63401,42859,440245,440136,6.94,10.27,25298,80-84 years
1278,2010/11,All Inpatients and Daycases,S92000003,80-84 years,Male,48925,33527,284445,284084,5.81,8.47,18018,80-84 years
1279,2010/11,All Inpatients and Daycases,S92000003,85-89 years,All Sexes,74876,47840,623182,623478,8.32,13.03,28540,85-89 years
1280,2010/11,All Inpatients and Daycases,S92000003,85-89 years,Female,46515,29355,415846,416540,8.94,14.19,18170,85-89 years
1281,2010/11,All Inpatients and Daycases,S92000003,85-89 years,Male,28365,18485,207336,206935,7.31,11.19,10370,85-89 years
1282,2010/11,All Inpatients and Daycases,S92000003,85 years and over,All Sexes,113120,70957,1004995,1005162,8.88,14.17,42694,NA
1283,2010/11,All Inpatients and Daycases,S92000003,85 years and over,Female,73470,45433,697882,698113,9.5,15.37,28352,NA
1284,2010/11,All Inpatients and Daycases,S92000003,85 years and over,Male,39650,25524,307113,307049,7.75,12.03,14342,NA
1285,2010/11,All Inpatients and Daycases,S92000003,90 years and over,All Sexes,38244,23117,381813,381684,9.98,16.51,14154,90 years and over
1286,2010/11,All Inpatients and Daycases,S92000003,90 years and over,Female,26955,16075,282036,281570,10.46,17.52,10180,90 years and over
1287,2010/11,All Inpatients and Daycases,S92000003,90 years and over,Male,11285,7040,99777,100115,8.84,14.22,3970,90 years and over
1288,2010/11,All Inpatients and Daycases,S92000003,All Ages,All Sexes,1424777,1149628,4968881,4959105,3.49,4.31,697909,NA
1289,2010/11,All Inpatients and Daycases,S92000003,All Ages,Female,750341,610538,2764299,2755932,3.68,4.51,373110,NA
1290,2010/11,All Inpatients and Daycases,S92000003,All Ages,Male,674428,539083,2204538,2203160,3.27,4.09,324793,NA
2437,2010/11,Day case,S92000003,Under 18 years,All Sexes,33966,33494,0,0,0,0,26315,NA
2438,2010/11,Day case,S92000003,Under 18 years,Female,15198,14961,0,0,0,0,11971,NA
2439,2010/11,Day case,S92000003,Under 18 years,Male,18768,18533,0,0,0,0,14344,NA
2440,2010/11,Day case,S92000003,0-4 years,All Sexes,10672,10532,0,0,0,0,8005,0-4 years
2441,2010/11,Day case,S92000003,0-4 years,Female,4123,4058,0,0,0,0,3018,0-4 years
2442,2010/11,Day case,S92000003,0-4 years,Male,6549,6474,0,0,0,0,4987,0-4 years
2443,2010/11,Day case,S92000003,10-14 years,All Sexes,7214,7113,0,0,0,0,5272,10-14 years
2444,2010/11,Day case,S92000003,10-14 years,Female,3278,3227,0,0,0,0,2483,10-14 years
2445,2010/11,Day case,S92000003,10-14 years,Male,3936,3886,0,0,0,0,2789,10-14 years
2446,2010/11,Day case,S92000003,15-19 years,All Sexes,10810,10712,0,0,0,0,8437,15-19 years
2447,2010/11,Day case,S92000003,15-19 years,Female,6311,6249,0,0,0,0,5387,15-19 years
2448,2010/11,Day case,S92000003,15-19 years,Male,4499,4463,0,0,0,0,3050,15-19 years
2449,2010/11,Day case,S92000003,20-24 years,All Sexes,13735,13615,0,0,0,0,11460,20-24 years
2450,2010/11,Day case,S92000003,20-24 years,Female,8873,8803,0,0,0,0,7658,20-24 years
2451,2010/11,Day case,S92000003,20-24 years,Male,4862,4812,0,0,0,0,3802,20-24 years
2452,2010/11,Day case,S92000003,25-29 years,All Sexes,15360,15237,0,5,0,0,12207,25-29 years
2453,2010/11,Day case,S92000003,25-29 years,Female,9556,9495,0,5,0,0,7748,25-29 years
2454,2010/11,Day case,S92000003,25-29 years,Male,5804,5742,0,0,0,0,4459,25-29 years
2455,2010/11,Day case,S92000003,30-34 years,All Sexes,16007,15768,0,0,0,0,12374,30-34 years
2456,2010/11,Day case,S92000003,30-34 years,Female,9948,9790,0,0,0,0,7594,30-34 years
2457,2010/11,Day case,S92000003,30-34 years,Male,6059,5978,0,0,0,0,4780,30-34 years
2458,2010/11,Day case,S92000003,35-39 years,All Sexes,20106,19913,0,5,0,0,15117,35-39 years
2459,2010/11,Day case,S92000003,35-39 years,Female,12525,12414,0,0,0,0,9109,35-39 years
2460,2010/11,Day case,S92000003,35-39 years,Male,7581,7499,0,0,0,0,6008,35-39 years
2461,2010/11,Day case,S92000003,40-44 years,All Sexes,26638,26280,0,0,0,0,18791,40-44 years
2462,2010/11,Day case,S92000003,40-44 years,Female,16271,16113,0,0,0,0,11103,40-44 years
2463,2010/11,Day case,S92000003,40-44 years,Male,10367,10167,0,0,0,0,7688,40-44 years
2464,2010/11,Day case,S92000003,45-49 years,All Sexes,32803,32379,0,0,0,0,21462,45-49 years
2465,2010/11,Day case,S92000003,45-49 years,Female,19570,19368,0,0,0,0,12359,45-49 years
2466,2010/11,Day case,S92000003,45-49 years,Male,13233,13011,0,0,0,0,9103,45-49 years
2467,2010/11,Day case,S92000003,5-9 years,All Sexes,10355,10188,0,0,0,0,8656,5-9 years
2468,2010/11,Day case,S92000003,5-9 years,Female,4667,4588,0,0,0,0,3801,5-9 years
2469,2010/11,Day case,S92000003,5-9 years,Male,5688,5600,0,0,0,0,4855,5-9 years
2470,2010/11,Day case,S92000003,50-54 years,All Sexes,35622,35137,0,5,0,0,22484,50-54 years
2471,2010/11,Day case,S92000003,50-54 years,Female,20696,20463,0,5,0,0,12397,50-54 years
2472,2010/11,Day case,S92000003,50-54 years,Male,14926,14674,0,0,0,0,10087,50-54 years
2473,2010/11,Day case,S92000003,55-59 years,All Sexes,38495,37835,0,5,0,0,22963,55-59 years
2474,2010/11,Day case,S92000003,55-59 years,Female,20755,20462,0,0,0,0,11944,55-59 years
2475,2010/11,Day case,S92000003,55-59 years,Male,17740,17373,0,5,0,0,11019,55-59 years
2476,2010/11,Day case,S92000003,60-64 years,All Sexes,45459,44681,0,0,0,0,26834,60-64 years
2477,2010/11,Day case,S92000003,60-64 years,Female,23279,22952,0,0,0,0,13126,60-64 years
2478,2010/11,Day case,S92000003,60-64 years,Male,22180,21729,0,0,0,0,13708,60-64 years
2479,2010/11,Day case,S92000003,65-69 years,All Sexes,44075,43159,0,5,0,0,25292,65-69 years
2480,2010/11,Day case,S92000003,65-69 years,Female,22082,21724,0,0,0,0,12420,65-69 years
2481,2010/11,Day case,S92000003,65-69 years,Male,21993,21435,0,0,0,0,12870,65-69 years
2482,2010/11,Day case,S92000003,65 years and over,All Sexes,159806,154849,0,11,0,0,95248,NA
2483,2010/11,Day case,S92000003,65 years and over,Female,82660,80180,0,5,0,0,49571,NA
2484,2010/11,Day case,S92000003,65 years and over,Male,77145,74670,0,5,0,0,45675,NA
2485,2010/11,Day case,S92000003,70-74 years,All Sexes,43432,42381,0,5,0,0,25023,70-74 years
2486,2010/11,Day case,S92000003,70-74 years,Female,21956,21470,0,5,0,0,12655,70-74 years
2487,2010/11,Day case,S92000003,70-74 years,Male,21475,20910,0,5,0,0,12365,70-74 years
2488,2010/11,Day case,S92000003,75-79 years,All Sexes,35527,34472,0,0,0,0,21535,75-79 years
2489,2010/11,Day case,S92000003,75-79 years,Female,18156,17653,0,0,0,0,11197,75-79 years
2490,2010/11,Day case,S92000003,75-79 years,Male,17371,16819,0,0,0,0,10338,75-79 years
2491,2010/11,Day case,S92000003,75 years and over,All Sexes,72299,69309,0,0,0,0,44933,NA
2492,2010/11,Day case,S92000003,75 years and over,Female,38622,36986,0,0,0,0,24494,NA
2493,2010/11,Day case,S92000003,75 years and over,Male,33677,32323,0,0,0,0,20439,NA
2494,2010/11,Day case,S92000003,80-84 years,All Sexes,22969,21952,0,0,0,0,14314,80-84 years
2495,2010/11,Day case,S92000003,80-84 years,Female,12498,11933,0,0,0,0,7915,80-84 years
2496,2010/11,Day case,S92000003,80-84 years,Male,10471,10019,0,0,0,0,6399,80-84 years
2497,2010/11,Day case,S92000003,85-89 years,All Sexes,10755,10074,0,0,0,0,7087,85-89 years
2498,2010/11,Day case,S92000003,85-89 years,Female,6160,5749,0,0,0,0,4165,85-89 years
2499,2010/11,Day case,S92000003,85-89 years,Male,4595,4325,0,0,0,0,2925,85-89 years
2500,2010/11,Day case,S92000003,85 years and over,All Sexes,13803,12885,0,0,0,0,9084,NA
2501,2010/11,Day case,S92000003,85 years and over,Female,7968,7400,0,0,0,0,5382,NA
2502,2010/11,Day case,S92000003,85 years and over,Male,5835,5485,0,0,0,0,3702,NA
2503,2010/11,Day case,S92000003,90 years and over,All Sexes,3048,2811,0,0,0,0,1997,90 years and over
2504,2010/11,Day case,S92000003,90 years and over,Female,1808,1651,0,0,0,0,1220,90 years and over
2505,2010/11,Day case,S92000003,90 years and over,Male,1240,1160,0,0,0,0,780,90 years and over
2506,2010/11,Day case,S92000003,All Ages,All Sexes,443082,434239,0,32,0,0,289310,NA
2507,2010/11,Day case,S92000003,All Ages,Female,242512,238162,0,14,0,0,157298,NA
2508,2010/11,Day case,S92000003,All Ages,Male,200570,196075,0,18,0,0,132010,NA
3652,2010/11,Elective,S92000003,Under 18 years,All Sexes,13978,14182,26237,34640,1.88,2.44,10720,NA
3653,2010/11,Elective,S92000003,Under 18 years,Female,6580,6684,12345,16427,1.88,2.46,5031,NA
3654,2010/11,Elective,S92000003,Under 18 years,Male,7398,7498,13892,18210,1.88,2.43,5689,NA
3655,2010/11,Elective,S92000003,0-4 years,All Sexes,5053,5112,10198,14225,2.02,2.78,3698,0-4 years
3656,2010/11,Elective,S92000003,0-4 years,Female,2087,2117,4216,6035,2.02,2.85,1458,0-4 years
3657,2010/11,Elective,S92000003,0-4 years,Male,2966,2995,5982,8194,2.02,2.74,2240,0-4 years
3658,2010/11,Elective,S92000003,10-14 years,All Sexes,3399,3449,6109,7935,1.8,2.3,2643,10-14 years
3659,2010/11,Elective,S92000003,10-14 years,Female,1725,1745,3210,4155,1.86,2.38,1354,10-14 years
3660,2010/11,Elective,S92000003,10-14 years,Male,1675,1700,2900,3780,1.73,2.22,1289,10-14 years
3661,2010/11,Elective,S92000003,15-19 years,All Sexes,4264,4289,7815,9716,1.83,2.27,3519,15-19 years
3662,2010/11,Elective,S92000003,15-19 years,Female,2419,2431,4047,4850,1.67,2,2085,15-19 years
3663,2010/11,Elective,S92000003,15-19 years,Male,1845,1858,3770,4866,2.04,2.62,1434,15-19 years
3664,2010/11,Elective,S92000003,20-24 years,All Sexes,4426,4425,9185,10450,2.08,2.36,3957,20-24 years
3665,2010/11,Elective,S92000003,20-24 years,Female,2525,2520,4565,5160,1.81,2.05,2291,20-24 years
3666,2010/11,Elective,S92000003,20-24 years,Male,1900,1905,4620,5289,2.43,2.78,1665,20-24 years
3667,2010/11,Elective,S92000003,25-29 years,All Sexes,4902,4903,9833,11465,2.01,2.34,4332,25-29 years
3668,2010/11,Elective,S92000003,25-29 years,Female,2849,2854,5425,6770,1.9,2.37,2532,25-29 years
3669,2010/11,Elective,S92000003,25-29 years,Male,2053,2049,4408,4690,2.15,2.29,1800,25-29 years
3670,2010/11,Elective,S92000003,30-34 years,All Sexes,5489,5484,11279,13030,2.05,2.38,4719,30-34 years
3671,2010/11,Elective,S92000003,30-34 years,Female,3257,3255,6655,7755,2.04,2.38,2832,30-34 years
3672,2010/11,Elective,S92000003,30-34 years,Male,2232,2230,4624,5275,2.07,2.37,1887,30-34 years
3673,2010/11,Elective,S92000003,35-39 years,All Sexes,7368,7338,16907,19265,2.29,2.63,6320,35-39 years
3674,2010/11,Elective,S92000003,35-39 years,Female,4622,4609,10757,11890,2.33,2.58,3988,35-39 years
3675,2010/11,Elective,S92000003,35-39 years,Male,2746,2729,6150,7375,2.24,2.7,2332,35-39 years
3676,2010/11,Elective,S92000003,40-44 years,All Sexes,10585,10575,27506,31140,2.6,2.94,8869,40-44 years
3677,2010/11,Elective,S92000003,40-44 years,Female,6669,6666,17864,19640,2.68,2.95,5706,40-44 years
3678,2010/11,Elective,S92000003,40-44 years,Male,3916,3909,9642,11500,2.46,2.94,3163,40-44 years
